,Rank
0,132
1,133
2,134
3,135
4,136
5,137
6,138
7,129
8,139
9,141
10,142
11,143
12,144
13,145
14,146
15,147
16,148
17,149
18,140
19,151
20,128
21,123
22,103
23,104
24,105
25,106
26,107
27,108
28,109
29,110
30,111
31,127
32,111
33,113
34,114
35,115
36,116
37,117
38,119
39,120
40,121
41,122
42,112
43,153
44,154
45,155
46,180
47,181
48,183
49,184
50,185
51,186
52,187
53,188
54,189
55,179
56,190
57,192
58,193
59,194
60,195
61,196
62,197
63,198
64,199
65,200
66,191
67,178
68,177
69,176
70,156
71,157
72,158
73,160
74,161
75,161
76,162
77,162
78,163
79,164
80,165
81,165
82,166
83,167
84,168
85,169
86,170
87,171
88,173
89,174
90,175
91,102
92,101
93,150
94,98
95,28
96,29
97,30
98,31
99,32
100,33
101,33
102,34
103,35
104,27
105,36
106,38
107,39
108,40
109,41
110,42
111,43
112,44
113,45
114,46
115,37
116,26
117,25
118,24
119,2
120,100
121,5
122,6
123,7
124,8
125,9
126,10
127,11
128,12
129,13
130,14
131,15
132,16
133,17
134,18
135,19
136,20
137,21
138,22
139,23
140,47
141,48
142,4
143,50
144,76
145,77
146,78
147,79
148,80
149,81
150,82
151,83
152,84
153,84
154,85
155,86
156,87
157,88
158,89
159,90
160,91
161,92
162,93
163,94
164,49
165,75
166,74
167,95
168,72
169,50
170,51
171,52
172,53
173,54
174,73
175,58
176,59
177,60
178,61
179,56
180,63
181,63
182,64
183,65
184,66
185,67
186,68
187,69
188,70
189,62
190,136
191,134
192,132
193,127
194,130
195,129
196,128
197,131
198,137
199,151
200,141
201,142
202,143
203,144
204,145
205,146
206,147
207,148
208,149
209,100
210,140
211,126
212,116
213,124
214,152
215,101
216,102
217,103
218,104
219,106
220,107
221,108
222,111
223,125
224,112
225,115
226,117
227,118
228,118
229,119
230,120
231,121
232,122
233,123
234,113
235,154
236,176
237,156
238,181
239,181
240,183
241,184
242,185
243,186
244,187
245,189
246,190
247,180
248,191
249,193
250,194
251,195
252,196
253,197
254,198
255,199
256,200
257,99
258,192
259,155
260,179
261,177
262,156
263,157
264,158
265,159
266,160
267,161
268,162
269,163
270,164
271,178
272,165
273,167
274,168
275,169
276,171
277,171
278,172
279,173
280,174
281,175
282,166
283,98
284,150
285,96
286,27
287,28
288,29
289,30
290,31
291,32
292,33
293,34
294,35
295,26
296,35
297,37
298,38
299,39
300,40
301,41
302,42
303,43
304,44
305,45
306,36
307,46
308,25
309,23
310,2
311,3
312,5
313,6
314,7
315,8
316,9
317,10
318,11
319,24
320,12
321,14
322,15
323,16
324,17
325,18
326,19
327,20
328,21
329,22
330,13
331,47
332,1
333,49
334,75
335,76
336,77
337,78
338,79
339,80
340,81
341,82
342,83
343,84
344,85
345,86
346,87
347,88
348,90
349,90
350,91
351,92
352,93
353,94
354,48
355,74
356,72
357,97
358,70
359,50
360,50
361,51
362,52
363,53
364,71
365,55
366,55
367,56
368,57
369,54
370,61
371,62
372,63
373,64
374,65
375,66
376,67
377,68
378,69
379,60
380,135
381,134
382,133
383,128
384,131
385,130
386,129
387,132
388,136
389,147
390,138
391,139
392,140
393,141
394,142
395,143
396,145
397,146
398,127
399,137
400,126
401,116
402,124
403,104
404,105
405,106
406,107
407,109
408,109
409,110
410,111
411,112
412,113
413,114
414,115
415,148
416,117
417,118
418,119
419,120
420,121
421,122
422,122
423,123
424,125
425,149
426,160
427,150
428,176
429,177
430,178
431,179
432,181
433,183
434,184
435,185
436,188
437,175
438,189
439,191
440,193
441,194
442,195
443,196
444,197
445,198
446,199
447,103
448,190
449,149
450,174
451,173
452,151
453,152
454,153
455,154
456,155
457,156
458,157
459,159
460,161
461,174
462,161
463,164
464,165
465,166
466,167
467,168
468,169
469,170
470,171
471,200
472,162
473,172
474,102
475,99
476,26
477,27
478,28
479,29
480,30
481,31
482,32
483,33
484,34
485,24
486,35
487,37
488,38
489,39
490,39
491,40
492,41
493,42
494,43
495,44
496,36
497,45
498,23
499,21
500,100
501,1
502,2
503,3
504,4
505,6
506,7
507,8
508,9
509,22
510,10
511,12
512,13
513,14
514,15
515,16
516,17
517,18
518,19
519,20
520,11
521,46
522,25
523,48
524,73
525,74
526,75
527,78
528,79
529,80
530,81
531,83
532,84
533,72
534,86
535,88
536,89
537,91
538,92
539,93
540,94
541,95
542,47
543,97
544,87
545,71
546,82
547,69
548,49
549,70
550,51
551,53
552,54
553,54
554,55
555,57
556,58
557,59
558,60
559,50
560,61
561,62
562,63
563,64
564,65
565,66
566,67
567,68
568,60
569,137
570,136
571,135
572,131
573,133
574,132
575,137
576,130
577,134
578,138
579,142
580,140
581,141
582,143
583,144
584,145
585,147
586,148
587,149
588,129
589,139
590,128
591,107
592,126
593,150
594,108
595,109
596,109
597,110
598,111
599,112
600,113
601,114
602,127
603,114
604,116
605,117
606,118
607,120
608,121
609,122
610,123
611,124
612,125
613,115
614,150
615,200
616,152
617,179
618,180
619,181
620,182
621,183
622,184
623,185
624,187
625,188
626,178
627,189
628,192
629,193
630,194
631,195
632,196
633,197
634,198
635,199
636,106
637,190
638,177
639,176
640,175
641,153
642,154
643,155
644,156
645,158
646,159
647,160
648,161
649,162
650,163
651,164
652,165
653,165
654,166
655,167
656,168
657,169
658,171
659,172
660,173
661,174
662,151
663,105
664,52
665,103
666,28
667,29
668,30
669,31
670,32
671,33
672,34
673,35
674,36
675,26
676,37
677,39
678,40
679,41
680,41
681,42
682,43
683,44
684,45
685,46
686,38
687,47
688,24
689,22
690,1
691,2
692,3
693,4
694,5
695,7
696,8
697,9
698,10
699,23
700,11
701,13
702,14
703,15
704,16
705,17
706,18
707,19
708,20
709,21
710,12
711,48
712,25
713,50
714,75
715,77
716,78
717,79
718,81
719,82
720,83
721,85
722,86
723,74
724,87
725,89
726,91
727,93
728,96
729,97
730,99
731,100
732,102
733,49
734,88
735,73
736,84
737,104
738,51
739,72
740,54
741,55
742,56
743,57
744,58
745,61
746,62
747,62
748,60
749,64
750,71
751,63
752,69
753,68
754,68
755,70
756,66
757,65
758,67
759,140
760,131
761,132
762,133
763,134
764,135
765,137
766,138
767,139
768,141
769,152
770,143
771,145
772,146
773,147
774,148
775,149
776,150
777,151
778,130
779,142
780,130
781,106
782,126
783,152
784,107
785,108
786,109
787,109
788,110
789,111
790,112
791,113
792,114
793,114
794,115
795,116
796,117
797,118
798,119
799,120
800,122
801,123
802,124
803,125
804,127
805,153
806,200
807,155
808,182
809,183
810,184
811,184
812,186
813,187
814,187
815,188
816,189
817,181
818,190
819,192
820,193
821,194
822,195
823,196
824,197
825,198
826,199
827,105
828,191
829,180
830,179
831,178
832,156
833,157
834,158
835,159
836,160
837,160
838,161
839,162
840,163
841,165
842,166
843,168
844,169
845,170
846,171
847,172
848,173
849,174
850,175
851,176
852,177
853,154
854,103
855,104
856,1
857,29
858,30
859,31
860,32
861,33
862,34
863,35
864,36
865,37
866,28
867,38
868,40
869,41
870,42
871,43
872,44
873,45
874,45
875,46
876,47
877,39
878,26
879,25
880,24
881,101
882,2
883,3
884,4
885,5
886,6
887,8
888,9
889,10
890,11
891,12
892,14
893,15
894,16
895,17
896,18
897,19
898,20
899,21
900,22
901,23
902,48
903,49
904,27
905,52
906,76
907,77
908,78
909,79
910,80
911,81
912,82
913,83
914,84
915,85
916,87
917,88
918,89
919,90
920,93
921,95
922,96
923,97
924,98
925,99
926,50
927,76
928,75
929,100
930,60
931,53
932,54
933,56
934,57
935,58
936,59
937,74
938,61
939,62
940,64
941,63
942,66
943,66
944,67
945,68
946,69
947,70
948,71
949,72
950,73
951,65
952,132
953,134
954,133
955,131
956,147
957,129
958,127
959,126
960,130
961,135
962,146
963,138
964,139
965,139
966,140
967,141
968,142
969,143
970,144
971,145
972,125
973,137
974,124
975,115
976,123
977,102
978,103
979,104
980,106
981,107
982,108
983,109
984,110
985,111
986,123
987,112
988,114
989,116
990,117
991,117
992,118
993,119
994,120
995,121
996,122
997,113
998,148
999,100
1000,150
1001,180
1002,181
1003,182
1004,184
1005,185
1006,187
1007,188
1008,189
1009,190
1010,179
1011,190
1012,192
1013,193
1014,194
1015,195
1016,196
1017,197
1018,198
1019,200
1020,199
1021,191
1022,178
1023,177
1024,176
1025,151
1026,152
1027,153
1028,156
1029,159
1030,161
1031,162
1032,163
1033,164
1034,165
1035,166
1036,167
1037,168
1038,169
1039,169
1040,170
1041,171
1042,172
1043,173
1044,174
1045,175
1046,149
1047,99
1048,2
1049,97
1050,29
1051,30
1052,31
1053,32
1054,33
1055,34
1056,35
1057,36
1058,37
1059,28
1060,38
1061,40
1062,41
1063,42
1064,43
1065,44
1066,45
1067,46
1068,47
1069,47
1070,39
1071,26
1072,25
1073,24
1074,98
1075,1
1076,3
1077,4
1078,5
1079,6
1080,8
1081,9
1082,10
1083,11
1084,12
1085,13
1086,14
1087,15
1088,16
1089,17
1090,19
1091,20
1092,21
1093,22
1094,23
1095,48
1096,49
1097,27
1098,51
1099,77
1100,78
1101,79
1102,80
1103,81
1104,82
1105,83
1106,84
1107,86
1108,87
1109,87
1110,88
1111,89
1112,90
1113,91
1114,92
1115,93
1116,95
1117,96
1118,50
1119,96
1120,76
1121,75
1122,85
1123,53
1124,52
1125,74
1126,54
1127,55
1128,57
1129,58
1130,60
1131,62
1132,63
1133,64
1134,61
1135,66
1136,73
1137,65
1138,71
1139,70
1140,69
1141,72
1142,67
1143,67
1144,68
1145,133
1146,126
1147,126
1148,127
1149,128
1150,129
1151,130
1152,131
