Unnamed: 0,date,Rank,Title,Artist_x,Production,Weekly Views,Genre,Runtime,New_Artist,n_score,g_score,ky_chart_on,Artist_y,Date,Ratio
0,2023-09-24,1,Love Lee,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 댄스,3:00,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
1,2023-09-24,2,후라이의 꿈,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 블루스/포크,3:25,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
26,2023-09-24,27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment,11929992.0,가요 / 발라드,4:50,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
103,2023-09-24,100,DINOSAUR,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 일렉트로니카,4:01,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
141,2023-09-24,137,오랜 날 오랜 밤,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 블루스/포크,4:44,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
183,2023-09-24,176,200%,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 전체,3:14,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
185,2023-09-24,178,Give Love,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 전체,2:57,악뮤,94.32015,100.0,False,악뮤,2023-09-24,94.32015
3,2023-09-24,4,Super Shy,NewJeans,ADOR,11655019.0,가요 / 댄스,2:35,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
5,2023-09-24,6,ETA,NewJeans,ADOR,11655019.0,가요 / 댄스,2:31,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
15,2023-09-24,16,Hype boy,NewJeans,ADOR,11655019.0,가요 / 댄스,2:57,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
18,2023-09-24,19,Ditto,NewJeans,ADOR,11655019.0,가요 / 댄스,3:06,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
20,2023-09-24,21,New Jeans,NewJeans,ADOR,11655019.0,가요 / 댄스,1:49,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
30,2023-09-24,31,OMG,NewJeans,ADOR,11655019.0,가요 / 댄스,3:32,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
32,2023-09-24,33,Attention,NewJeans,ADOR,11655019.0,가요 / 댄스,2:58,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
33,2023-09-24,33,Attention,NewJeans,ADOR,11655019.0,가요 / 댄스,2:58,뉴진스,10.55509,13.0,False,뉴진스,2023-09-24,10.55509
46,2023-09-24,46,Cool With You,NewJeans,ADOR,11655019.0,가요 / 댄스,2:28,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
75,2023-09-24,73,ASAP,NewJeans,ADOR,11655019.0,가요 / 댄스,2:14,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
144,2023-09-24,140,Cookie,NewJeans,ADOR,11655019.0,가요 / 댄스,3:53,뉴진스,10.55509,6.0,False,뉴진스,2023-09-24,10.55509
4,2023-09-24,5,Seven (feat. Latto) - Clean Ver.,정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,3:04,정국,61.50958,45.0,False,정국,2023-09-24,61.50958
25,2023-09-24,26,3D (feat. Jack Harlow),정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,3:22,정국,61.50958,45.0,False,정국,2023-09-24,61.50958
31,2023-09-24,32,Still With You,정국,BIGHIT MUSIC,4173726.0,가요 / R&B/소울,4:00,정국,61.50958,45.0,False,정국,2023-09-24,61.50958
155,2023-09-24,151,Seven (feat. Latto) - Explicit Ver.,정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,3:04,정국,61.50958,45.0,False,정국,2023-09-24,61.50958
6,2023-09-24,7,Fast Forward,전소미,The Black Label,2838121.0,가요 / 댄스,2:41,전소미,61.76283,13.0,False,전소미,2023-09-24,61.76283
7,2023-09-24,8,헤어지자 말해요,박재정,로맨틱팩토리,2101694.0,가요 / 발라드,4:04,박재정,31.2917,16.0,True,박재정,2023-09-24,31.2917
8,2023-09-24,9,I Love My Body,화사(Hwa Sa),피네이션,1798695.0,가요 / 댄스,2:30,화사,60.31301,62.0,False,화사,2023-09-24,60.31301
9,2023-09-24,10,I AM,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,3:04,아이브,65.02992,48.0,True,아이브,2023-09-24,65.02992
13,2023-09-24,14,Either Way,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / R&B/소울,2:47,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
19,2023-09-24,20,Kitsch,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,3:15,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
29,2023-09-24,30,After LIKE,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,2:57,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
35,2023-09-24,35,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,2:57,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
38,2023-09-24,38,I WANT,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,3:01,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
112,2023-09-24,109,ELEVEN,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,2:58,아이브,65.02992,48.0,False,아이브,2023-09-24,65.02992
10,2023-09-24,11,사막에서 꽃을 피우듯,우디(Woody),메이저나인,1743014.0,가요 / 발라드,4:19,우디,28.46486,48.0,False,우디,2023-09-24,28.46486
177,2023-09-24,170,Say I Love You,우디(Woody),메이저나인,1743014.0,가요 / 발라드,3:36,우디,28.46486,48.0,False,우디,2023-09-24,28.46486
11,2023-09-24,12,Bubble,STAYC(스테이씨),하이업엔터테인먼트,3264422.0,가요 / 댄스,2:59,스테이씨,65.88327,17.0,False,스테이씨,2023-09-24,65.88327
45,2023-09-24,45,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트,3264422.0,가요 / 댄스,3:10,스테이씨,65.88327,17.0,False,스테이씨,2023-09-24,65.88327
12,2023-09-24,13,퀸카 (Queencard),(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,2:41,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
86,2023-09-24,84,TOMBOY,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 락,2:54,여자 아이들,17.8133,3.0,False,여자 아이들,2023-09-24,17.8133
87,2023-09-24,84,TOMBOY,(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 락,2:54,여자 아이들,17.8133,12.0,False,여자 아이들,2023-09-24,17.8133
