date,Artist,New_Artist
2023-09-24,AKMU (악뮤),악뮤
2023-09-24,"다이나믹 듀오 (Dynamic Duo), 이영지","다이나믹 듀오 , 이영지"
2023-09-24,NewJeans,뉴진스
2023-09-24,정국,정국
2023-09-24,전소미,전소미
2023-09-24,박재정,박재정
2023-09-24,화사(Hwa Sa),화사
2023-09-24,IVE (아이브),IVE
2023-09-24,우디(Woody),우디
2023-09-24,STAYC(스테이씨),STAYC
2023-09-24,(여자)아이들,여자 아이들
2023-09-24,LE SSERAFIM (르세라핌),LE SSERAFIM
2023-09-24,Lauv,Lauv
2023-09-24,aespa,aespa
2023-09-24,로이킴,로이킴
2023-09-24,윤하,윤하
2023-09-24,BIG Naughty (서동현),BIG Naughty
2023-09-24,Paul Blanco,Paul Blanco
2023-09-24,RIIZE,RIIZE
2023-09-24,ITZY (있지),ITZY
2023-09-24,성시경,성시경
2023-09-24,임영웅,임영웅
2023-09-24,DK,DK
2023-09-24,잔나비,잔나비
2023-09-24,탑현,탑현
2023-09-24,Charlie Puth,Charlie Puth
2023-09-24,V,V
2023-09-24,멜로망스(Melomance),멜로망스
2023-09-24,세븐틴,세븐틴
2023-09-24,크러쉬 (CRUSH),크러쉬
2023-09-24,H1-KEY,H1-KEY
2023-09-24,지수 (JISOO),지수
2023-09-24,임한별,임한별
2023-09-24,김민석,김민석
2023-09-24,NCT U,NCT U
2023-09-24,"The Kid LAROI, Justin Bieber","The Kid LAROI, Justin Bieber"
2023-09-24,이세계 아이돌,이세계 아이돌
2023-09-24,"경서예지, 전건호","경서예지, 전건호"
2023-09-24,허각,허각
2023-09-24,부석순 (SEVENTEEN),부석순
2023-09-24,디오 (D.O.),디오
2023-09-24,케이시 (Kassy),케이시
2023-09-24,#안녕,#안녕
2023-09-24,우효 (OOHYO),우효
2023-09-24,지민,지민
2023-09-24,FIFTY FIFTY,FIFTY FIFTY
2023-09-24,"김연지, DK","김연지, DK"
2023-09-24,NCT DREAM,NCT DREAM
2023-09-24,방탄소년단,방탄소년단
2023-09-24,이무진,이무진
2023-09-24,폴킴,폴킴
2023-09-24,제이세라 (J-Cera),제이세라
2023-09-24,Agust D,Agust D
2023-09-24,테이 (Tei),테이
2023-09-24,지아 (Zia),지아
2023-09-24,오마이걸 (OH MY GIRL),오마이걸
2023-09-24,10cm,10cm
2023-09-24,경서,경서
2023-09-24,Doja Cat,Doja Cat
2023-09-24,던 (DAWN),던
2023-09-24,권은비,권은비
2023-09-24,바이브 (Vibe),바이브
2023-09-24,"정국, 방탄소년단","정국, 방탄소년단"
2023-09-24,미연 ((여자)아이들),미연 (여자 아이들)
2023-09-24,너드커넥션 (Nerd Connection),너드커넥션
2023-09-24,"Zac Efron, Zendaya","Zac Efron, Zendaya"
2023-09-24,아이유 (IU),아이유
2023-09-24,릴러말즈 (Leellamarz),릴러말즈
2023-09-24,BOYNEXTDOOR,BOYNEXTDOOR
2023-09-24,임재현,임재현
2023-09-24,YOASOBI,YOASOBI
2023-09-24,BLACKPINK,BLACKPINK
2023-09-24,DAY6,DAY6
2023-09-24,"j-hope,  J. Cole","j-hope,  J. Cole"
2023-09-24,백아,백아
2023-09-24,imase,imase
2023-09-24,"미연 ((여자)아이들), 우기 ((여자)아이들)","미연(여자 아이들), 우기(여자 아이들)"
2023-09-24,"Christopher, 청하","Christopher, 청하"
2023-09-24,"다이나믹 듀오 (Dynamic Duo), DJ Premier","다이나믹 듀오 , DJ Premier"
2023-09-24,영탁,영탁
2023-09-24,주호,주호
2023-09-24,Justin Bieber,Justin Bieber
2023-09-24,KISS OF LIFE,KISS OF LIFE
2023-09-24,거미,거미
2023-09-24,지코 (ZICO),지코
2023-09-24,Anne-Marie,Anne-Marie
2023-09-24,죠지,죠지
2023-09-24,비투비 (BTOB),비투비
2023-09-24,WSG워너비 (가야G),WSG워너비
2023-09-24,Yyeon,Yyeon
2023-09-24,ZEROBASEONE (제로베이스원),ZEROBASEONE
2023-09-24,이채연,이채연
2023-09-24,Sondia,Sondia
2023-09-24,에일리 (Ailee),에일리
2023-09-24,노을,노을
2023-09-24,백예린,백예린
2023-09-24,Sam Smith,Sam Smith
2023-09-24,"허용별 (허각, 신용재, 임한별)",허용별
2023-09-24,"Dan + Shay, Justin Bieber","Dan + Shay, Justin Bieber"
2023-09-24,Ed Sheeran,Ed Sheeran
2023-09-24,"정은지, 서인국","정은지, 서인국"
2023-09-24,데이먼스 이어 (Damons Year),데이먼스 이어
2023-09-24,NMIXX,NMIXX
2023-09-24,마크툽 (Maktub),마크툽
2023-09-24,헤이즈 (Heize),헤이즈
2023-09-24,김승민,김승민
2023-09-24,엠씨더맥스 (M.C The Max),엠씨더맥스
2023-09-24,Yuuri,Yuuri
2023-09-24,BE`O (비오),BE`O
2023-09-24,태연 (TAEYEON),태연
2023-10-01,AKMU (악뮤),악뮤
2023-10-01,NCT 127,NCT 127
2023-10-01,"다이나믹 듀오 (Dynamic Duo), 이영지","다이나믹 듀오 , 이영지"
2023-10-01,정국,정국
2023-10-01,NewJeans,뉴진스
2023-10-01,전소미,전소미
2023-10-01,박재정,박재정
2023-10-01,화사(Hwa Sa),화사
2023-10-01,우디(Woody),우디
2023-10-01,IVE (아이브),IVE
2023-10-01,STAYC(스테이씨),STAYC
2023-10-01,(여자)아이들,여자 아이들
2023-10-01,RIIZE,RIIZE
2023-10-01,LE SSERAFIM (르세라핌),LE SSERAFIM
2023-10-01,Lauv,Lauv
2023-10-01,aespa,aespa
2023-10-01,로이킴,로이킴
2023-10-01,윤하,윤하
2023-10-01,Paul Blanco,Paul Blanco
2023-10-01,BIG Naughty (서동현),BIG Naughty
2023-10-01,성시경,성시경
2023-10-01,임영웅,임영웅
2023-10-01,ITZY (있지),ITZY
2023-10-01,잔나비,잔나비
2023-10-01,DK,DK
2023-10-01,탑현,탑현
2023-10-01,멜로망스(Melomance),멜로망스
2023-10-01,Charlie Puth,Charlie Puth
2023-10-01,H1-KEY,H1-KEY
2023-10-01,V,V
2023-10-01,세븐틴,세븐틴
2023-10-01,김민석,김민석
2023-10-01,지수 (JISOO),지수
2023-10-01,NCT U,NCT U
2023-10-01,임한별,임한별
2023-10-01,디오 (D.O.),디오
2023-10-01,허각,허각
2023-10-01,"The Kid LAROI, Justin Bieber","The Kid LAROI, Justin Bieber"
2023-10-01,"경서예지, 전건호","경서예지, 전건호"
2023-10-01,크러쉬 (CRUSH),크러쉬
2023-10-01,이세계 아이돌,이세계 아이돌
2023-10-01,#안녕,#안녕
2023-10-01,부석순 (SEVENTEEN),부석순
2023-10-01,제니 (JENNIE),제니
2023-10-01,케이시 (Kassy),케이시
2023-10-01,우효 (OOHYO),우효
2023-10-01,영탁,영탁
2023-10-01,지민,지민
2023-10-01,"김연지, DK","김연지, DK"
2023-10-01,NCT DREAM,NCT DREAM
2023-10-01,방탄소년단,방탄소년단
2023-10-01,FIFTY FIFTY,FIFTY FIFTY
2023-10-01,폴킴,폴킴
2023-10-01,이무진,이무진
2023-10-01,바이브 (Vibe),바이브
2023-10-01,제이세라 (J-Cera),제이세라
2023-10-01,지아 (Zia),지아
2023-10-01,Doja Cat,Doja Cat
2023-10-01,김호중,김호중
2023-10-01,"Zac Efron, Zendaya","Zac Efron, Zendaya"
2023-10-01,테이 (Tei),테이
2023-10-01,Agust D,Agust D
2023-10-01,"정국, 방탄소년단","정국, 방탄소년단"
2023-10-01,10cm,10cm
2023-10-01,릴러말즈 (Leellamarz),릴러말즈
2023-10-01,너드커넥션 (Nerd Connection),너드커넥션
2023-10-01,던 (DAWN),던
2023-10-01,권은비,권은비
2023-10-01,오마이걸 (OH MY GIRL),오마이걸
2023-10-01,미연 ((여자)아이들),미연(여자 아이들)
2023-10-01,경서,경서
2023-10-01,"NewJeans, League of Legends","뉴진스, League of Legends"
2023-10-01,Yyeon,Yyeon
2023-10-01,아이유 (IU),아이유
2023-10-01,"다이나믹 듀오 (Dynamic Duo), DJ Premier","다이나믹 듀오 , DJ Premier"
2023-10-01,BOYNEXTDOOR,BOYNEXTDOOR
2023-10-01,임재현,임재현
2023-10-01,BLACKPINK,BLACKPINK
2023-10-01,백아,백아
2023-10-01,YOASOBI,YOASOBI
2023-10-01,DAY6,DAY6
2023-10-01,imase,imase
2023-10-01,"DK, 김연지","DK, 김연지"
2023-10-01,최유리,최유리
2023-10-01,"Christopher, 청하","Christopher, 청하"
2023-10-01,Justin Bieber,Justin Bieber
2023-10-01,"j-hope,  J. Cole","j-hope,  J. Cole"
2023-10-01,dori,dori
2023-10-01,주호,주호
2023-10-01,비투비 (BTOB),비투비
2023-10-01,"미연 ((여자)아이들), 우기 ((여자)아이들)","미연(여자 아이들), 우기(여자 아이들)"
2023-10-01,지코 (ZICO),지코
2023-10-01,Anne-Marie,Anne-Marie
2023-10-01,죠지,죠지
2023-10-01,KISS OF LIFE,KISS OF LIFE
2023-10-01,WSG워너비 (가야G),WSG워너비
2023-10-01,에일리 (Ailee),에일리
2023-10-01,백예린,백예린
2023-10-01,Sondia,Sondia
2023-10-01,Sam Smith,Sam Smith
2023-10-01,ZEROBASEONE (제로베이스원),ZEROBASEONE
2023-10-01,이채연,이채연
2023-10-01,"허용별 (허각, 신용재, 임한별)",허용별
2023-10-01,노을,노을
2023-10-01,"Dan + Shay, Justin Bieber","Dan + Shay, Justin Bieber"
2023-10-01,데이먼스 이어 (Damons Year),데이먼스 이어
2023-10-01,"정은지, 서인국","정은지, 서인국"
2023-10-01,Ed Sheeran,Ed Sheeran
2023-10-01,거미,거미
2023-10-01,김승민,김승민
2023-10-01,Yuuri,Yuuri
2023-10-01,NMIXX,NMIXX
2023-10-01,온앤오프 (ONF),온앤오프
2023-10-01,태연 (TAEYEON),태연
2023-10-08,임영웅,임영웅
2023-10-08,AKMU (악뮤),악뮤
2023-10-08,제니 (JENNIE),제니
2023-10-08,"다이나믹 듀오 (Dynamic Duo), 이영지","다이나믹 듀오 , 이영지"
2023-10-08,IVE (아이브),IVE
2023-10-08,정국,정국
2023-10-08,NewJeans,뉴진스
2023-10-08,NCT 127,NCT 127
2023-10-08,전소미,전소미
2023-10-08,박재정,박재정
2023-10-08,화사(Hwa Sa),화사
2023-10-08,우디(Woody),우디
2023-10-08,STAYC(스테이씨),STAYC
2023-10-08,RIIZE,RIIZE
2023-10-08,(여자)아이들,여자 아이들
2023-10-08,LE SSERAFIM (르세라핌),LE SSERAFIM
2023-10-08,Lauv,Lauv
2023-10-08,aespa,aespa
2023-10-08,로이킴,로이킴
2023-10-08,윤하,윤하
2023-10-08,성시경,성시경
2023-10-08,Paul Blanco,Paul Blanco
2023-10-08,잔나비,잔나비
2023-10-08,BIG Naughty (서동현),BIG Naughty
2023-10-08,DK,DK
2023-10-08,탑현,탑현
2023-10-08,ITZY (있지),ITZY
2023-10-08,멜로망스(Melomance),멜로망스
2023-10-08,Charlie Puth,Charlie Puth
2023-10-08,김민석,김민석
2023-10-08,H1-KEY,H1-KEY
2023-10-08,세븐틴,세븐틴
2023-10-08,"경서예지, 전건호","경서예지, 전건호"
2023-10-08,임한별,임한별
2023-10-08,지수 (JISOO),지수
2023-10-08,디오 (D.O.),디오
2023-10-08,"The Kid LAROI, Justin Bieber","The Kid LAROI, Justin Bieber"
2023-10-08,허각,허각
2023-10-08,NCT U,NCT U
2023-10-08,#안녕,#안녕
2023-10-08,이세계 아이돌,이세계 아이돌
2023-10-08,V,V
2023-10-08,부석순 (SEVENTEEN),부석순
2023-10-08,케이시 (Kassy),케이시
2023-10-08,우효 (OOHYO),우효
2023-10-08,크러쉬 (CRUSH),크러쉬
2023-10-08,폴킴,폴킴
2023-10-08,"Zac Efron, Zendaya","Zac Efron, Zendaya"
2023-10-08,"김연지, DK","김연지, DK"
2023-10-08,방탄소년단,방탄소년단
2023-10-08,바이브 (Vibe),바이브
2023-10-08,김호중,김호중
2023-10-08,NCT DREAM,NCT DREAM
2023-10-08,dori,dori
2023-10-08,지민,지민
2023-10-08,투모로우바이투게더,투모로우바이투게더
2023-10-08,지아 (Zia),지아
2023-10-08,Yyeon,Yyeon
2023-10-08,Doja Cat,Doja Cat
2023-10-08,FIFTY FIFTY,FIFTY FIFTY
2023-10-08,이무진,이무진
2023-10-08,제이세라 (J-Cera),제이세라
2023-10-08,"다이나믹 듀오 (Dynamic Duo), DJ Premier","다이나믹 듀오 , DJ Premier"
2023-10-08,"정국, 방탄소년단","정국, 방탄소년단"
2023-10-08,10cm,10cm
2023-10-08,"NewJeans, League of Legends","뉴진스, League of Legends"
2023-10-08,영탁,영탁
2023-10-08,테이 (Tei),테이
2023-10-08,릴러말즈 (Leellamarz),릴러말즈
2023-10-08,너드커넥션 (Nerd Connection),너드커넥션
2023-10-08,Agust D,Agust D
2023-10-08,미연 ((여자)아이들),미연 (여자 아이들)
2023-10-08,던 (DAWN),던
2023-10-08,권은비,권은비
2023-10-08,아이유 (IU),아이유
2023-10-08,경서,경서
2023-10-08,쿠기 (Coogie),쿠기
2023-10-08,백아,백아
2023-10-08,최유리,최유리
2023-10-08,이효리,이효리
2023-10-08,DAY6,DAY6
2023-10-08,BLACKPINK,BLACKPINK
2023-10-08,Justin Bieber,Justin Bieber
2023-10-08,BOYNEXTDOOR,BOYNEXTDOOR
2023-10-08,오마이걸 (OH MY GIRL),오마이걸
2023-10-08,YOASOBI,YOASOBI
2023-10-08,비투비 (BTOB),비투비
2023-10-08,임재현,임재현
2023-10-08,"Christopher, 청하","Christopher, 청하"
2023-10-08,주호,주호
2023-10-08,imase,imase
2023-10-08,Anne-Marie,Anne-Marie
2023-10-08,"DK, 김연지","DK, 김연지"
2023-10-08,Sam Smith,Sam Smith
2023-10-08,Sondia,Sondia
2023-10-08,지코 (ZICO),지코
2023-10-08,에일리 (Ailee),에일리
2023-10-08,죠지,죠지
2023-10-08,WSG워너비 (가야G),WSG워너비
2023-10-08,백예린,백예린
2023-10-08,노을,노을
