date,Rank,Title,Artist,Production
2023-01-01,1,Ditto,NewJeans,ADOR
2023-01-01,2,사건의 지평선,윤하,C9엔터테인먼트
2023-01-01,3,OMG,NewJeans,ADOR
2023-01-01,4,Hype boy,NewJeans,ADOR
2023-01-01,5,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
2023-01-01,6,Candy,NCT DREAM,SM Entertainment
2023-01-01,7,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
2023-01-01,8,After LIKE,IVE (아이브),스타쉽엔터테인먼트
2023-01-01,9,Attention,NewJeans,ADOR
2023-01-01,10,Nxde,(여자)아이들,큐브엔터테인먼트
2023-01-01,11,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
2023-01-01,12,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
2023-01-01,13,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
2023-01-01,14,Monologue,테이 (Tei),방구석 캐스팅
2023-01-01,15,너의 모든 순간,성시경,SBS 콘텐츠허브
2023-01-01,16,Cookie,NewJeans,ADOR
2023-01-01,17,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
2023-01-01,18,Shut Down,BLACKPINK,YG Entertainment
2023-01-01,19,WHEN I MOVE,카라 (KARA),RBW
2023-01-01,20,사랑은 늘 도망가,임영웅,모스트콘텐츠
2023-01-01,21,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
2023-01-01,22,그대를 알고,송하예,디스튜디오
2023-01-01,23,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
2023-01-01,24,사랑인가 봐,멜로망스(Melomance),플렉스엠
2023-01-01,25,Pink Venom,BLACKPINK,YG Entertainment
2023-01-01,26,잘가요,주호,레이벡스
2023-01-01,27,해요 (2022),#안녕,일팔 프로젝트
2023-01-01,28,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
2023-01-01,29,TOMBOY,(여자)아이들,큐브엔터테인먼트
2023-01-01,30,그라데이션,10cm,매직스트로베리사운드
2023-01-01,31,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
2023-01-01,32,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
2023-01-01,33,나의 X에게,경서,꿈의엔진
2023-01-01,34,내가 아니라도,주호,IN A MILLION
2023-01-01,35,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
2023-01-01,36,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
2023-01-01,37,취중고백,김민석,프로젝트 리본
2023-01-01,38,오르트구름,윤하,C9엔터테인먼트
2023-01-01,39,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
2023-01-01,40,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
2023-01-01,41,That`s Hilarious,Charlie Puth,Atlantic Records UK
2023-01-01,42,Say I Love You,우디(Woody),메이저나인
2023-01-01,43,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
2023-01-01,44,Snowman,Sia,"Monkey Puzzle, Atlantic"
2023-01-01,45,첫사랑,백아,Baek A
2023-01-01,46,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
2023-01-01,47,보고싶었어,WSG워너비 (4FIRE),MBC
2023-01-01,48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
2023-01-01,49,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
2023-01-01,50,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
2023-01-01,51,아픈 나를,성시경,롱플레이뮤직
2023-01-01,52,그 겨울이 잠든 거리에서,"경서예지, 전건호",에버그로우
2023-01-01,53,우리들의 블루스,임영웅,물고기뮤직
2023-01-01,54,위하여 (We Higher) (Prod. GroovyRoom),"그루비룸 (GroovyRoom), 릴보이 (lIlBOI), Blase (블라세), 노윤하, Polodared, Chillin Homie, Fleeky Bang",Stone Music Entertainment
2023-01-01,55,Stay,"The Kid LAROI, Justin Bieber",Columbia
2023-01-01,56,우린 그렇게 사랑해서,"강민경, 잔나비","WAKEONE, 페포니뮤직"
2023-01-01,57,주저하는 연인들을 위해,잔나비,페포니 뮤직
2023-01-01,58,밤하늘의 별을(2020),경서,꿈의엔진
2023-01-01,59,떠나보낼 준비해 둘걸 그랬어,임한별,오늘의 선곡
2023-01-01,60,"빡 (Feat. 팔로알토 (Paloalto), 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
2023-01-01,61,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,뷰티플노이즈
2023-01-01,62,새벽에 걸려온 너의 전화는,한동근,말하는
2023-01-01,63,도깨비불 (Illusion),aespa,SM Entertainment
2023-01-01,64,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,Stone Music Entertainment
2023-01-01,65,다시 만날 수 있을까,임영웅,물고기뮤직
2023-01-01,66,FOREVER 1,소녀시대,SM Entertainment
2023-01-01,67,이 소설의 끝을 다시 써보려 해,테이 (Tei),메모리즈 프로젝트
2023-01-01,68,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records
2023-01-01,69,That That (prod. & feat. SUGA of BTS),싸이 (Psy),피네이션
2023-01-01,70,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,Stone Music Entertainment
2023-01-01,71,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),YG Entertainment
2023-01-01,72,Love story,볼빨간사춘기,쇼파르엔터테인먼트
2023-01-01,73,이제 나만 믿어요,임영웅,"TV CHOSUN, 쇼플레이"
2023-01-01,74,Dynamite,방탄소년단,BIGHIT MUSIC
2023-01-01,75,드라마,아이유 (IU),EDAM엔터테인먼트
2023-01-01,76,흩어지지 않게,엠씨더맥스 (M.C the MAX),325 이엔씨
2023-01-01,77,Graduation,NCT DREAM,SM Entertainment
2023-01-01,78,SNEAKERS,ITZY (있지),JYP Entertainment
2023-01-01,79,Made You Look,Meghan Trainor,Epic
2023-01-01,80,Unholy,"Sam Smith, Kim Petras",EMI
2023-01-01,81,Feel My Rhythm,레드벨벳(Red Velvet),SM Entertainment
2023-01-01,82,봄날,방탄소년단,BIGHIT MUSIC
2023-01-01,83,Butter,방탄소년단,BIGHIT MUSIC
2023-01-01,84,무지개,임영웅,물고기뮤직
2023-01-01,85,strawberry moon,아이유 (IU),EDAM엔터테인먼트
2023-01-01,86,첫 눈,EXO,SM Entertainment
2023-01-01,87,London Boy,임영웅,물고기뮤직
2023-01-01,88,신호등,이무진,쇼플레이
2023-01-01,89,All I Want For Christmas Is You,Mariah Carey,Columbia/Legacy
2023-01-01,90,Madness,문빈&산하,판타지오뮤직
2023-01-01,91,스티커 사진,21학번,제나두 엔터테인먼트
2023-01-01,92,INVU,태연 (TAEYEON),SM Entertainment
2023-01-01,93,DEJAVU (Feat. 박재범) (Prod. by Slom),이영지,Stone Music Entertainment
2023-01-01,94,Santa Tell Me,Ariana Grande,"Republic Records, a division of UMG Recordings,Inc"
2023-01-01,95,Off My Face,Justin Bieber,RBMG/Def Jam
2023-01-01,96,아버지,임영웅,물고기뮤직
2023-01-01,97,Polaroid,임영웅,물고기뮤직
2023-01-01,98,POP!,나연 (TWICE),JYP Entertainment
2023-01-01,99,Next Level,aespa,SM Entertainment
2023-01-01,100,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
2023-01-01,101,사랑한다고 말해줘,탑현,탑현월드
2023-01-01,102,한 페이지가 될 수 있게,DAY6,JYP Entertainment
2023-01-01,103,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
2023-01-01,104,Dangerously,Charlie Puth,Artist Partners
2023-01-01,105,Permission to Dance,방탄소년단,BIGHIT MUSIC
2023-01-01,106,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,Stone Music Entertainment
2023-01-01,107,Celebrity,아이유 (IU),EDAM엔터테인먼트
2023-01-01,108,WE (Feat. 박재범) (Prod. by Slom),"이영지, 토이고 (toigo), 제이켠 (J`Kyun), 잠비노 (Jambino), XINSAYNE",Stone Music Entertainment
2023-01-01,109,미리 메리 크리스마스 (Feat. 천둥),아이유 (IU),Kakao Entertainment
2023-01-01,110,Fuckin′ New Year,백예린,블루바이닐
2023-01-01,111,첫눈처럼 너에게 가겠다,에일리 (Ailee),"Stone Music Entertainment, 화앤담픽쳐스"
2023-01-01,112,고백연습,경서,꿈의엔진
2023-01-01,113,I`m Sorry,에일리 (Ailee),Stone Music Entertainment
2023-01-01,114,Yet To Come,방탄소년단,BIGHIT MUSIC
2023-01-01,115,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",Atlantic Records
2023-01-01,116,SMILEY (Feat. BIBI),YENA(최예나),위에화엔터테인먼트코리아
2023-01-01,117,희재,성시경,씨에스해피엔터테인먼트
2023-01-01,118,문 (Moon),NCT DREAM,SM Entertainment
2023-01-01,119,Girls,aespa,SM Entertainment
2023-01-01,120,오르골 (Life Is Still Going On),NCT DREAM,SM Entertainment
2023-01-01,121,The Drum,Alan Walker,MER Recordings
2023-01-01,122,밤편지,아이유 (IU),"페이브엔터테인먼트,카카오 M"
2023-01-01,123,인생찬가,임영웅,물고기뮤직
2023-01-01,124,A bientot,임영웅,물고기뮤직
2023-01-01,125,Tangerine Love (Favorite),NCT DREAM,SM Entertainment
2023-01-01,126,DICE,NMIXX,JYP Entertainment
2023-01-01,127,으리으리 (Feat. 호미들),NSW yoon,Stone Music Entertainment
2023-01-01,128,발자국 (Walk With You),NCT DREAM,SM Entertainment
2023-01-01,129,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),넥스타엔터테인먼트
2023-01-01,130,Cheshire,ITZY (있지),JYP Entertainment
2023-01-01,131,크리스마스니까,"성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX)",젤리피쉬 엔터테인먼트
2023-01-01,132,추억때문에,유림,원탑엔터테인먼트
2023-01-01,133,손이 참 곱던 그대,임영웅,물고기뮤직
2023-01-01,134,Hurt,NewJeans,ADOR
2023-01-01,135,사랑해 진짜,임영웅,물고기뮤직
