Week,Rank,Artist,Weekly Views
2024-09-15,1,DAY6(데이식스),15912380
2024-09-15,2,NewJeans,10073665
2024-09-15,3,aespa,8219842
2024-09-15,4,아이유(IU),7373928
2024-09-15,5,IVE,5698873
2024-09-15,6,윤하,4950897
2024-09-15,7,BIGBANG,4846562
2024-09-15,8,(여자)아이들,4807038
2024-09-15,9,QWER,4568098
2024-09-15,10,임영웅,4533493
2024-09-15,11,르세라핌,4262098
2024-09-15,12,세븐틴(SEVENTEEN),4035428
2024-09-15,13,태연,3872419
2024-09-15,14,이무진,3670910
2024-09-15,15,볼빨간사춘기,3585216
2024-09-15,16,AKMU (악뮤),3410405
2024-09-15,17,BLACKPINK,3331032
2024-09-15,18,fromis_9(프로미스나인),3312017
2024-09-15,19,Kenshi Yonezu(켄시 요네즈/米津 玄師),3164519
2024-09-15,20,성시경,3104222
2024-09-15,21,BTS(방탄소년단),3030342
2024-09-15,22,엔믹스,3030155
2024-09-15,23,릴러말즈(Leellamarz),2973080
2024-09-15,24,싸이(PSY),2957649
2024-09-15,25,KISS OF LIFE,2879287
2024-09-15,26,Charlie Puth,2868438
2024-09-15,27,BIG Naughty (서동현),2800538
2024-09-15,28,루시,2767478
2024-09-15,29,허각,2739679
2024-09-15,30,이영지,2621967
2024-09-15,31,김호중,2558691
2024-09-15,32,최유리,2513341
2024-09-15,33,엔플라잉,2478468
2024-09-15,34,Red Velvet,2476274
2024-09-15,35,잔나비,2410211
2024-09-15,36,요아소비,2401081
2024-09-15,37,Justin Bieber(저스틴 비버),2374401
2024-09-15,38,다비치,2345085
2024-09-15,39,TWICE(트와이스),2333960
2024-09-15,40,RIIZE,2256918
2024-09-15,41,스트레이 키즈,2232322
2024-09-15,42,카더가든,2230628
2024-09-15,43,BOYNEXTDOOR,2216563
2024-09-15,44,로이킴,2205268
2024-09-15,45,크러쉬,2195339
2024-09-15,46,백예린,2192431
2024-09-15,47,MC 몽,2086976
2024-09-15,48,M.C the MAX,2079110
2024-09-15,49,TOIL,2039329
2024-09-15,50,헤이즈(Heize),2025317
2024-09-15,51,오마이걸(OH MY GIRL),2002820
2024-09-15,52,멜로망스(MeloMance),1992620
2024-09-15,53,너드커넥션,1989152
2024-09-15,54,TWS (투어스),1970400
2024-09-15,55,The Weeknd (위켄드),1948570
2024-09-15,56,Taylor Swift,1936695
2024-09-15,57,버즈,1924660
2024-09-15,58,에픽하이(EPIK HIGH),1917806
2024-09-15,59,G-DRAGON,1899096
2024-09-15,60,창모(CHANGMO),1872531
2024-09-15,61,폴킴(Paul Kim),1857791
2024-09-15,62,지코(ZICO),1837609
2024-09-15,63,Kanye West(카니예 웨스트),1826142
2024-09-15,64,ILLIT,1824714
2024-09-15,65,정국,1816537
2024-09-15,66,MEOVV,1813179
2024-09-15,67,이창섭,1813098
2024-09-15,68,Lauv(라우브),1772709
2024-09-15,69,Maroon 5(마룬 파이브),1771565
2024-09-15,70,임한별,1770555
2024-09-15,71,다이나믹 듀오,1769882
2024-09-15,72,박재범,1740485
2024-09-15,73,Ariana Grande(아리아나 그란데),1717628
2024-09-15,74,브루노 마스,1704599
2024-09-15,75,Loco,1697908
2024-09-15,76,Yuuri,1690235
2024-09-15,77,비투비,1671112
2024-09-15,78,Ed Sheeran(에드 시런),1660677
2024-09-15,79,2NE1,1649317
2024-09-15,80,이클립스,1642300
2024-09-15,81,청하,1637064
2024-09-15,82,ASH ISLAND,1631634
2024-09-15,83,블락비(Block B),1631394
2024-09-15,84,경서예지,1607647
2024-09-15,85,#안녕,1588343
2024-09-15,86,펀치,1586135
2024-09-15,87,김승민,1576494
2024-09-15,88,10CM,1573872
2024-09-15,89,SG워너비,1569322
2024-09-15,90,tuki.,1558128
2024-09-15,91,순순희,1547672
2024-09-15,92,에일리(AILEE),1544572
2024-09-15,93,BABYMONSTER,1539467
2024-09-15,94,EXO,1536482
2024-09-15,95,Yorushika(ヨルシカ),1511604
2024-09-15,96,지아,1509842
2024-09-15,97,경서,1503912
2024-09-15,98,전건호,1485354
2024-09-15,99,OFFICIAL HIGE DANDISM,1482452
2024-09-15,100,케이윌,1470311
2024-09-08,1,DAY6(데이식스),17010414
2024-09-08,2,NewJeans,10527030
2024-09-08,3,aespa,8844064
2024-09-08,4,아이유(IU),7219105
2024-09-08,5,윤하,6178641
2024-09-08,6,IVE,5801470
2024-09-08,7,BIGBANG,5207557
2024-09-08,8,QWER,5098094
2024-09-08,9,(여자)아이들,5073551
2024-09-08,10,임영웅,5001031
2024-09-08,11,르세라핌,4910126
2024-09-08,12,세븐틴(SEVENTEEN),4270571
2024-09-08,13,태연,4050692
2024-09-08,14,이무진,3734845
2024-09-08,15,볼빨간사춘기,3655571
2024-09-08,16,fromis_9(프로미스나인),3546858
2024-09-08,17,BLACKPINK,3454688
2024-09-08,18,엔믹스,3425125
2024-09-08,19,AKMU (악뮤),3350635
2024-09-08,20,성시경,3232358
2024-09-08,21,루시,3147449
2024-09-08,22,BTS(방탄소년단),3128414
2024-09-08,23,릴러말즈(Leellamarz),3125106
2024-09-08,24,KISS OF LIFE,3102234
2024-09-08,25,Kenshi Yonezu(켄시 요네즈/米津 玄師),3091609
2024-09-08,26,싸이(PSY),3086056
2024-09-08,27,BIG Naughty (서동현),3003417
2024-09-08,28,Charlie Puth,2959063
2024-09-08,29,허각,2917816
2024-09-08,30,최유리,2854189
2024-09-08,31,MEOVV,2842708
2024-09-08,32,김호중,2774596
2024-09-08,33,Red Velvet,2727639
2024-09-08,34,엔플라잉,2693273
2024-09-08,35,RIIZE,2646389
2024-09-08,36,다비치,2622204
2024-09-08,37,잔나비,2519015
2024-09-08,38,Justin Bieber(저스틴 비버),2510110
2024-09-08,39,TWICE(트와이스),2385824
2024-09-08,40,이영지,2361574
2024-09-08,41,요아소비,2359506
2024-09-08,42,백예린,2358837
2024-09-08,43,Kanye West(카니예 웨스트),2357383
2024-09-08,44,로이킴,2333623
2024-09-08,45,스트레이 키즈,2324336
2024-09-08,46,카더가든,2298139
2024-09-08,47,크러쉬,2290515
2024-09-08,48,M.C the MAX,2286143
2024-09-08,49,BOYNEXTDOOR,2244157
2024-09-08,50,MC 몽,2227248
2024-09-08,51,오마이걸(OH MY GIRL),2210330
2024-09-08,52,TOIL,2164470
2024-09-08,53,멜로망스(MeloMance),2133791
2024-09-08,54,TWS (투어스),2096405
2024-09-08,55,폴킴(Paul Kim),2089736
2024-09-08,56,에픽하이(EPIK HIGH),2080701
2024-09-08,57,Taylor Swift,2058534
2024-09-08,58,너드커넥션,2053010
2024-09-08,59,이창섭,2004670
2024-09-08,60,G-DRAGON,1997690
2024-09-08,61,박재범,1994943
2024-09-08,62,버즈,1991331
2024-09-08,63,헤이즈(Heize),1988224
2024-09-08,64,창모(CHANGMO),1955245
2024-09-08,65,정국,1942061
2024-09-08,66,ILLIT,1941171
2024-09-08,67,지코(ZICO),1923940
2024-09-08,68,다이나믹 듀오,1886804
2024-09-08,69,경서예지,1874735
2024-09-08,70,임한별,1861651
2024-09-08,71,The Weeknd (위켄드),1856535
2024-09-08,72,청하,1843283
2024-09-08,73,Ariana Grande(아리아나 그란데),1839676
2024-09-08,74,Yuuri,1839186
2024-09-08,75,Maroon 5(마룬 파이브),1837680
2024-09-08,76,브루노 마스,1793783
2024-09-08,77,Loco,1782983
2024-09-08,78,ASH ISLAND,1778303
2024-09-08,79,영탁,1773464
2024-09-08,80,비투비,1757037
2024-09-08,81,#안녕,1735428
2024-09-08,82,Ed Sheeran(에드 시런),1726116
2024-09-08,83,2NE1,1722663
2024-09-08,84,전건호,1706279
2024-09-08,85,BABYMONSTER,1705570
2024-09-08,86,이클립스,1701441
2024-09-08,87,10CM,1691869
2024-09-08,88,Lauv(라우브),1688492
2024-09-08,89,지아,1687923
2024-09-08,90,펀치,1665954
2024-09-08,91,에일리(AILEE),1651934
2024-09-08,92,SG워너비,1624732
2024-09-08,93,Yorushika(ヨルシカ),1618053
2024-09-08,94,김나영,1612432
2024-09-08,95,키드 와인,1596352
2024-09-08,96,EXO,1586821
2024-09-08,97,경서,1577251
2024-09-08,98,OFFICIAL HIGE DANDISM,1571600
2024-09-08,99,순순희,1568194
2024-09-08,100,김승민,1548839
2024-09-01,1,DAY6(데이식스),15030288
2024-09-01,2,NewJeans,11036967
2024-09-01,3,aespa,9255891
2024-09-01,4,아이유(IU),7219357
2024-09-01,5,르세라핌,7054370
2024-09-01,6,IVE,5875895
2024-09-01,7,윤하,5513987
2024-09-01,8,(여자)아이들,5423082
2024-09-01,9,임영웅,5383036
2024-09-01,10,QWER,5064102
2024-09-01,11,BIGBANG,4912694
2024-09-01,12,세븐틴(SEVENTEEN),4305469
2024-09-01,13,태연,4107388
2024-09-01,14,엔믹스,3821191
2024-09-01,15,이무진,3647479
2024-09-01,16,볼빨간사춘기,3616222
2024-09-01,17,BLACKPINK,3552614
2024-09-01,18,fromis_9(프로미스나인),3546080
2024-09-01,19,Kanye West(카니예 웨스트),3500636
2024-09-01,20,KISS OF LIFE,3441215
2024-09-01,21,AKMU (악뮤),3311167
2024-09-01,22,BTS(방탄소년단),3164162
2024-09-01,23,성시경,3150444
2024-09-01,24,싸이(PSY),3147738
2024-09-01,25,Kenshi Yonezu(켄시 요네즈/米津 玄師),3121609
2024-09-01,26,루시,3111331
2024-09-01,27,Charlie Puth,3014642
2024-09-01,28,릴러말즈(Leellamarz),3001281
2024-09-01,29,Red Velvet,2963506
2024-09-01,30,BIG Naughty (서동현),2929201
2024-09-01,31,김호중,2894244
2024-09-01,32,허각,2747620
2024-09-01,33,최유리,2675802
2024-09-01,34,다비치,2636200
2024-09-01,35,엔플라잉,2634983
2024-09-01,36,로이킴,2570684
2024-09-01,37,RIIZE,2515751
2024-09-01,38,잔나비,2511320
