,artist,week,ratio
2295,#안녕,2023-09-17,13.27809
2296,#안녕,2023-09-24,13.34714
2297,#안녕,2023-10-01,14.32376
2298,#안녕,2023-10-08,16.12903
2299,#안녕,2023-10-15,15.87254
2300,#안녕,2023-10-22,15.47795
2301,#안녕,2023-10-29,20.52875
2302,#안녕,2023-11-05,100.0
2303,#안녕,2023-11-12,33.33333
2304,#안녕,2023-11-19,94.99852
2305,#안녕,2023-11-26,58.73532
2306,#안녕,2023-12-03,34.379
2307,#안녕,2023-12-10,29.92009
2308,#안녕,2023-12-17,21.57443
2309,#안녕,2023-12-24,60.40248
2310,#안녕,2023-12-31,30.14698
2311,#안녕,2024-01-07,27.09874
2312,#안녕,2024-01-14,59.32721
2313,#안녕,2024-01-21,44.39183
2314,#안녕,2024-01-28,31.71549
2315,#안녕,2024-02-04,25.52037
2316,#안녕,2024-02-11,24.18861
2317,#안녕,2024-02-18,25.88537
2318,#안녕,2024-02-25,43.57304
2319,#안녕,2024-03-03,32.43563
2320,#안녕,2024-03-10,22.8174
2321,#안녕,2024-03-17,24.29712
2322,#안녕,2024-03-24,26.42793
2323,#안녕,2024-03-31,21.3278
2324,#안녕,2024-04-07,23.83348
2325,#안녕,2024-04-14,19.17727
2326,#안녕,2024-04-21,18.06254
2327,#안녕,2024-04-28,19.27591
2328,#안녕,2024-05-05,24.80023
2329,#안녕,2024-05-12,21.07132
2330,#안녕,2024-05-19,20.63726
2331,#안녕,2024-05-26,13.83052
2332,#안녕,2024-06-02,13.51484
2333,#안녕,2024-06-09,28.29239
2334,#안녕,2024-06-16,97.45486
2335,#안녕,2024-06-23,86.78109
2336,#안녕,2024-06-30,74.65719
2337,#안녕,2024-07-07,93.12419
2338,#안녕,2024-07-14,51.68195
2339,#안녕,2024-07-21,37.44697
2340,#안녕,2024-07-28,28.97306
2341,#안녕,2024-08-04,30.65009
2342,#안녕,2024-08-11,31.03482
2343,#안녕,2024-08-18,25.95442
2344,#안녕,2024-08-25,28.34171
2345,#안녕,2024-09-01,28.69685
135,#안녕,2024-09-09,44.42841
136,#안녕,2024-09-16,44.42841
137,#안녕,2024-09-23,44.42841
3009,10cm,2023-09-17,33.93734
3010,10cm,2023-09-24,28.42956
3011,10cm,2023-10-01,28.77764
3012,10cm,2023-10-08,26.13295
3013,10cm,2023-10-15,23.71689
3014,10cm,2023-10-22,22.08572
3015,10cm,2023-10-29,23.19137
3016,10cm,2023-11-05,20.22249
3017,10cm,2023-11-12,23.96259
3018,10cm,2023-11-19,20.36582
3019,10cm,2023-11-26,19.1885
3020,10cm,2023-12-03,25.84288
3021,10cm,2023-12-10,28.75716
3022,10cm,2023-12-17,32.11165
3023,10cm,2023-12-24,32.09459
3024,10cm,2023-12-31,26.73013
3025,10cm,2024-01-07,24.07521
3026,10cm,2024-01-14,31.35408
3027,10cm,2024-01-21,44.90854
3028,10cm,2024-01-28,31.72604
3029,10cm,2024-02-04,26.41277
3030,10cm,2024-02-11,25.58353
3031,10cm,2024-02-18,26.10906
3032,10cm,2024-02-25,25.72345
3033,10cm,2024-03-03,25.3822
3034,10cm,2024-03-10,30.48389
3035,10cm,2024-03-17,28.79811
3036,10cm,2024-03-24,30.73983
3037,10cm,2024-03-31,44.84711
3038,10cm,2024-04-07,39.55432
3039,10cm,2024-04-14,43.09991
3040,10cm,2024-04-21,40.776
3041,10cm,2024-04-28,56.71239
3042,10cm,2024-05-05,74.17758
3043,10cm,2024-05-12,61.11452
3044,10cm,2024-05-19,45.15083
3045,10cm,2024-05-26,48.10606
3046,10cm,2024-06-02,59.54477
3047,10cm,2024-06-09,34.99863
3048,10cm,2024-06-16,100.0
3049,10cm,2024-06-23,32.88629
3050,10cm,2024-06-30,34.24447
3051,10cm,2024-07-07,24.00013
3052,10cm,2024-07-14,21.18482
3053,10cm,2024-07-21,20.89817
3054,10cm,2024-07-28,17.90199
3055,10cm,2024-08-04,20.89134
3056,10cm,2024-08-11,23.07534
3057,10cm,2024-08-18,18.99058
3058,10cm,2024-08-25,27.62762
3059,10cm,2024-09-01,21.29743
177,10cm,2024-09-09,64.50569
178,10cm,2024-09-16,64.50569
179,10cm,2024-09-23,64.50569
9702,2am,2023-09-17,8.97411
9703,2am,2023-09-24,9.59046
9704,2am,2023-10-01,11.1875
9705,2am,2023-10-08,49.58224
9706,2am,2023-10-15,15.79509
9707,2am,2023-10-22,11.23955
9708,2am,2023-10-29,22.3394
9709,2am,2023-11-05,11.382
9710,2am,2023-11-12,9.6836
9711,2am,2023-11-19,9.30009
9712,2am,2023-11-26,13.90768
9713,2am,2023-12-03,9.66716
9714,2am,2023-12-10,12.7188
9715,2am,2023-12-17,12.63114
9716,2am,2023-12-24,100.0
9717,2am,2023-12-31,35.32392
9718,2am,2024-01-07,22.83522
9719,2am,2024-01-14,14.98698
9720,2am,2024-01-21,13.41186
9721,2am,2024-01-28,15.37049
9722,2am,2024-02-04,13.45021
9723,2am,2024-02-11,13.5543
9724,2am,2024-02-18,12.71332
9725,2am,2024-02-25,11.27516
9726,2am,2024-03-03,9.68634
9727,2am,2024-03-10,12.23394
9728,2am,2024-03-17,10.56567
9729,2am,2024-03-24,8.28927
9730,2am,2024-03-31,7.42364
9731,2am,2024-04-07,7.45103
9732,2am,2024-04-14,9.67264
9733,2am,2024-04-21,12.79276
9734,2am,2024-04-28,11.60115
9735,2am,2024-05-05,9.38227
9736,2am,2024-05-12,8.37419
