artist,response.startDate,response.endDate,response.timeUnit,response.results
악뮤,2023-09-18,2024-09-15,week,"[{'title': '악뮤', 'keywords': ['악뮤'], 'data': [{'period': '2023-09-18', 'ratio': 100}, {'period': '2023-09-25', 'ratio': 94.32015}, {'period': '2023-10-02', 'ratio': 76.40452}, {'period': '2023-10-09', 'ratio': 65.91209}, {'period': '2023-10-16', 'ratio': 54.6259}, {'period': '2023-10-23', 'ratio': 51.85947}, {'period': '2023-10-30', 'ratio': 50.72174}, {'period': '2023-11-06', 'ratio': 42.04615}, {'period': '2023-11-13', 'ratio': 38.82698}, {'period': '2023-11-20', 'ratio': 40.00881}, {'period': '2023-11-27', 'ratio': 39.81478}, {'period': '2023-12-04', 'ratio': 43.57195}, {'period': '2023-12-11', 'ratio': 41.7257}, {'period': '2023-12-18', 'ratio': 41.31412}, {'period': '2023-12-25', 'ratio': 35.98412}, {'period': '2024-01-01', 'ratio': 36.4398}, {'period': '2024-01-08', 'ratio': 27.93767}, {'period': '2024-01-15', 'ratio': 21.94326}, {'period': '2024-01-22', 'ratio': 19.67073}, {'period': '2024-01-29', 'ratio': 16.29869}, {'period': '2024-02-05', 'ratio': 17.48934}, {'period': '2024-02-12', 'ratio': 14.94634}, {'period': '2024-02-19', 'ratio': 13.92326}, {'period': '2024-02-26', 'ratio': 13.64398}, {'period': '2024-03-04', 'ratio': 11.38615}, {'period': '2024-03-11', 'ratio': 11.95942}, {'period': '2024-03-18', 'ratio': 12.72085}, {'period': '2024-03-25', 'ratio': 17.58929}, {'period': '2024-04-01', 'ratio': 15.51962}, {'period': '2024-04-08', 'ratio': 21.25532}, {'period': '2024-04-15', 'ratio': 18.924}, {'period': '2024-04-22', 'ratio': 15.22563}, {'period': '2024-04-29', 'ratio': 14.21431}, {'period': '2024-05-06', 'ratio': 13.65574}, {'period': '2024-05-13', 'ratio': 14.80229}, {'period': '2024-05-20', 'ratio': 20.07643}, {'period': '2024-05-27', 'ratio': 22.31662}, {'period': '2024-06-03', 'ratio': 50.76877}, {'period': '2024-06-10', 'ratio': 32.69439}, {'period': '2024-06-17', 'ratio': 21.27296}, {'period': '2024-06-24', 'ratio': 14.24371}, {'period': '2024-07-01', 'ratio': 14.24665}, {'period': '2024-07-08', 'ratio': 12.37101}, {'period': '2024-07-15', 'ratio': 11.23327}, {'period': '2024-07-22', 'ratio': 10.63648}, {'period': '2024-07-29', 'ratio': 10.17198}, {'period': '2024-08-05', 'ratio': 10.5718}, {'period': '2024-08-12', 'ratio': 11.88887}, {'period': '2024-08-19', 'ratio': 12.31809}, {'period': '2024-08-26', 'ratio': 10.93635}, {'period': '2024-09-02', 'ratio': 11.62428}, {'period': '2024-09-09', 'ratio': 10.45421}]}]"
다이나믹 듀오,2023-09-18,2024-09-15,week,"[{'title': '다이나믹 듀오', 'keywords': ['다이나믹 듀오'], 'data': [{'period': '2023-09-18', 'ratio': 100}, {'period': '2023-09-25', 'ratio': 58.73076}, {'period': '2023-10-02', 'ratio': 58.6322}, {'period': '2023-10-09', 'ratio': 67.08098}, {'period': '2023-10-16', 'ratio': 51.80419}, {'period': '2023-10-23', 'ratio': 42.0139}, {'period': '2023-10-30', 'ratio': 40.06461}, {'period': '2023-11-06', 'ratio': 32.45907}, {'period': '2023-11-13', 'ratio': 34.84641}, {'period': '2023-11-20', 'ratio': 39.0133}, {'period': '2023-11-27', 'ratio': 31.353}, {'period': '2023-12-04', 'ratio': 22.68521}, {'period': '2023-12-11', 'ratio': 20.10075}, {'period': '2023-12-18', 'ratio': 20.4457}, {'period': '2023-12-25', 'ratio': 74.71937}, {'period': '2024-01-01', 'ratio': 27.64058}, {'period': '2024-01-08', 'ratio': 17.68055}, {'period': '2024-01-15', 'ratio': 16.77709}, {'period': '2024-01-22', 'ratio': 20.51689}, {'period': '2024-01-29', 'ratio': 14.43902}, {'period': '2024-02-05', 'ratio': 14.28023}, {'period': '2024-02-12', 'ratio': 15.85172}, {'period': '2024-02-19', 'ratio': 17.49438}, {'period': '2024-02-26', 'ratio': 16.79351}, {'period': '2024-03-04', 'ratio': 13.49175}, {'period': '2024-03-11', 'ratio': 15.64912}, {'period': '2024-03-18', 'ratio': 18.95635}, {'period': '2024-03-25', 'ratio': 50.00821}, {'period': '2024-04-01', 'ratio': 31.35848}, {'period': '2024-04-08', 'ratio': 28.85068}, {'period': '2024-04-15', 'ratio': 32.49739}, {'period': '2024-04-22', 'ratio': 40.40957}, {'period': '2024-04-29', 'ratio': 38.83261}, {'period': '2024-05-06', 'ratio': 32.41526}, {'period': '2024-05-13', 'ratio': 45.53468}, {'period': '2024-05-20', 'ratio': 40.21245}, {'period': '2024-05-27', 'ratio': 51.96298}, {'period': '2024-06-03', 'ratio': 24.62903}, {'period': '2024-06-10', 'ratio': 23.41345}, {'period': '2024-06-17', 'ratio': 39.39659}, {'period': '2024-06-24', 'ratio': 31.2873}, {'period': '2024-07-01', 'ratio': 24.30597}, {'period': '2024-07-08', 'ratio': 26.75354}, {'period': '2024-07-15', 'ratio': 25.52702}, {'period': '2024-07-22', 'ratio': 25.29157}, {'period': '2024-07-29', 'ratio': 22.8659}, {'period': '2024-08-05', 'ratio': 20.8728}, {'period': '2024-08-12', 'ratio': 30.59738}, {'period': '2024-08-19', 'ratio': 25.47226}, {'period': '2024-08-26', 'ratio': 32.50287}, {'period': '2024-09-02', 'ratio': 29.04232}, {'period': '2024-09-09', 'ratio': 24.82067}]}]"
이영지,2023-09-18,2024-09-15,week,"[{'title': '이영지', 'keywords': ['이영지'], 'data': [{'period': '2023-09-18', 'ratio': 19.90891}, {'period': '2023-09-25', 'ratio': 26.02995}, {'period': '2023-10-02', 'ratio': 30.26291}, {'period': '2023-10-09', 'ratio': 25.58303}, {'period': '2023-10-16', 'ratio': 16.5118}, {'period': '2023-10-23', 'ratio': 14.78637}, {'period': '2023-10-30', 'ratio': 14.52897}, {'period': '2023-11-06', 'ratio': 14.22065}, {'period': '2023-11-13', 'ratio': 15.98568}, {'period': '2023-11-20', 'ratio': 19.12116}, {'period': '2023-11-27', 'ratio': 26.06672}, {'period': '2023-12-04', 'ratio': 24.25219}, {'period': '2023-12-11', 'ratio': 28.03399}, {'period': '2023-12-18', 'ratio': 19.21167}, {'period': '2023-12-25', 'ratio': 41.56872}, {'period': '2024-01-01', 'ratio': 48.04191}, {'period': '2024-01-08', 'ratio': 26.72578}, {'period': '2024-01-15', 'ratio': 18.78031}, {'period': '2024-01-22', 'ratio': 17.73374}, {'period': '2024-01-29', 'ratio': 16.41845}, {'period': '2024-02-05', 'ratio': 13.38764}, {'period': '2024-02-12', 'ratio': 21.48726}, {'period': '2024-02-19', 'ratio': 18.71101}, {'period': '2024-02-26', 'ratio': 18.967}, {'period': '2024-03-04', 'ratio': 12.45986}, {'period': '2024-03-11', 'ratio': 11.04558}, {'period': '2024-03-18', 'ratio': 12.94921}, {'period': '2024-03-25', 'ratio': 9.57755}, {'period': '2024-04-01', 'ratio': 10.19842}, {'period': '2024-04-08', 'ratio': 10.25358}, {'period': '2024-04-15', 'ratio': 11.17286}, {'period': '2024-04-22', 'ratio': 9.62422}, {'period': '2024-04-29', 'ratio': 11.57735}, {'period': '2024-05-06', 'ratio': 13.57432}, {'period': '2024-05-13', 'ratio': 14.38895}, {'period': '2024-05-20', 'ratio': 30.21341}, {'period': '2024-05-27', 'ratio': 34.98946}, {'period': '2024-06-03', 'ratio': 37.61438}, {'period': '2024-06-10', 'ratio': 32.12694}, {'period': '2024-06-17', 'ratio': 100}, {'period': '2024-06-24', 'ratio': 92.29213}, {'period': '2024-07-01', 'ratio': 85.16695}, {'period': '2024-07-08', 'ratio': 51.8124}, {'period': '2024-07-15', 'ratio': 44.7339}, {'period': '2024-07-22', 'ratio': 35.52972}, {'period': '2024-07-29', 'ratio': 24.63263}, {'period': '2024-08-05', 'ratio': 23.19148}, {'period': '2024-08-12', 'ratio': 24.26775}, {'period': '2024-08-19', 'ratio': 25.24926}, {'period': '2024-08-26', 'ratio': 28.56859}, {'period': '2024-09-02', 'ratio': 25.90266}, {'period': '2024-09-09', 'ratio': 36.38395}]}]"
뉴진스,2023-09-18,2024-09-15,week,"[{'title': '뉴진스', 'keywords': ['뉴진스'], 'data': [{'period': '2023-09-18', 'ratio': 12.58839}, {'period': '2023-09-25', 'ratio': 10.55509}, {'period': '2023-10-02', 'ratio': 10.07439}, {'period': '2023-10-09', 'ratio': 9.50657}, {'period': '2023-10-16', 'ratio': 8.21728}, {'period': '2023-10-23', 'ratio': 8.09638}, {'period': '2023-10-30', 'ratio': 9.73275}, {'period': '2023-11-06', 'ratio': 11.5042}, {'period': '2023-11-13', 'ratio': 13.32638}, {'period': '2023-11-20', 'ratio': 13.87124}, {'period': '2023-11-27', 'ratio': 12.95201}, {'period': '2023-12-04', 'ratio': 11.13618}, {'period': '2023-12-11', 'ratio': 11.1567}, {'period': '2023-12-18', 'ratio': 9.23186}, {'period': '2023-12-25', 'ratio': 13.38435}, {'period': '2024-01-01', 'ratio': 11.82166}, {'period': '2024-01-08', 'ratio': 8.77916}, {'period': '2024-01-15', 'ratio': 8.1506}, {'period': '2024-01-22', 'ratio': 6.62594}, {'period': '2024-01-29', 'ratio': 6.45813}, {'period': '2024-02-05', 'ratio': 6.51455}, {'period': '2024-02-12', 'ratio': 5.79659}, {'period': '2024-02-19', 'ratio': 6.66306}, {'period': '2024-02-26', 'ratio': 7.12284}, {'period': '2024-03-04', 'ratio': 5.54712}, {'period': '2024-03-11', 'ratio': 4.83779}, {'period': '2024-03-18', 'ratio': 5.27551}, {'period': '2024-03-25', 'ratio': 6.94933}, {'period': '2024-04-01', 'ratio': 6.75132}, {'period': '2024-04-08', 'ratio': 6.50609}, {'period': '2024-04-15', 'ratio': 5.8702}, {'period': '2024-04-22', 'ratio': 100}, {'period': '2024-04-29', 'ratio': 47.22216}, {'period': '2024-05-06', 'ratio': 17.81326}, {'period': '2024-05-13', 'ratio': 25.4602}, {'period': '2024-05-20', 'ratio': 31.8221}, {'period': '2024-05-27', 'ratio': 32.22871}, {'period': '2024-06-03', 'ratio': 25.62963}, {'period': '2024-06-10', 'ratio': 20.4743}, {'period': '2024-06-17', 'ratio': 17.91992}, {'period': '2024-06-24', 'ratio': 18.26204}, {'period': '2024-07-01', 'ratio': 19.81952}, {'period': '2024-07-08', 'ratio': 17.20399}, {'period': '2024-07-15', 'ratio': 13.54124}, {'period': '2024-07-22', 'ratio': 16.07177}, {'period': '2024-07-29', 'ratio': 12.69399}, {'period': '2024-08-05', 'ratio': 9.84804}, {'period': '2024-08-12', 'ratio': 8.28413}, {'period': '2024-08-19', 'ratio': 7.17373}, {'period': '2024-08-26', 'ratio': 7.34031}, {'period': '2024-09-02', 'ratio': 10.99663}, {'period': '2024-09-09', 'ratio': 58.99334}]}]"
정국,2023-09-18,2024-09-15,week,"[{'title': '정국', 'keywords': ['정국'], 'data': [{'period': '2023-09-18', 'ratio': 38.5358}, {'period': '2023-09-25', 'ratio': 61.50958}, {'period': '2023-10-02', 'ratio': 64.77082}, {'period': '2023-10-09', 'ratio': 49.24285}, {'period': '2023-10-16', 'ratio': 45.93135}, {'period': '2023-10-23', 'ratio': 38.13291}, {'period': '2023-10-30', 'ratio': 72.10314}, {'period': '2023-11-06', 'ratio': 100}, {'period': '2023-11-13', 'ratio': 78.44728}, {'period': '2023-11-20', 'ratio': 75.32061}, {'period': '2023-11-27', 'ratio': 61.52093}, {'period': '2023-12-04', 'ratio': 59.89153}, {'period': '2023-12-11', 'ratio': 69.33234}, {'period': '2023-12-18', 'ratio': 30.08074}, {'period': '2023-12-25', 'ratio': 27.66338}, {'period': '2024-01-01', 'ratio': 25.54029}, {'period': '2024-01-08', 'ratio': 25.42923}, {'period': '2024-01-15', 'ratio': 31.01136}, {'period': '2024-01-22', 'ratio': 24.21812}, {'period': '2024-01-29', 'ratio': 21.74565}, {'period': '2024-02-05', 'ratio': 20.53535}, {'period': '2024-02-12', 'ratio': 19.75469}, {'period': '2024-02-19', 'ratio': 19.57878}, {'period': '2024-02-26', 'ratio': 19.63228}, {'period': '2024-03-04', 'ratio': 17.13711}, {'period': '2024-03-11', 'ratio': 18.40091}, {'period': '2024-03-18', 'ratio': 19.03484}, {'period': '2024-03-25', 'ratio': 16.45778}, {'period': '2024-04-01', 'ratio': 15.1802}, {'period': '2024-04-08', 'ratio': 15.60904}, {'period': '2024-04-15', 'ratio': 17.71591}, {'period': '2024-04-22', 'ratio': 16.20324}, {'period': '2024-04-29', 'ratio': 17.30572}, {'period': '2024-05-06', 'ratio': 14.91674}, {'period': '2024-05-13', 'ratio': 14.50007}, {'period': '2024-05-20', 'ratio': 13.41299}, {'period': '2024-05-27', 'ratio': 12.86823}, {'period': '2024-06-03', 'ratio': 19.28208}, {'period': '2024-06-10', 'ratio': 22.11611}, {'period': '2024-06-17', 'ratio': 14.14257}, {'period': '2024-06-24', 'ratio': 13.03036}, {'period': '2024-07-01', 'ratio': 12.09082}, {'period': '2024-07-08', 'ratio': 12.04461}, {'period': '2024-07-15', 'ratio': 12.68665}, {'period': '2024-07-22', 'ratio': 13.97801}, {'period': '2024-07-29', 'ratio': 12.06083}, {'period': '2024-08-05', 'ratio': 16.10191}, {'period': '2024-08-12', 'ratio': 16.69044}, {'period': '2024-08-19', 'ratio': 14.35577}, {'period': '2024-08-26', 'ratio': 17.30329}, {'period': '2024-09-02', 'ratio': 13.85884}, {'period': '2024-09-09', 'ratio': 69.79847}]}]"
전소미,2023-09-18,2024-09-15,week,"[{'title': '전소미', 'keywords': ['전소미'], 'data': [{'period': '2023-09-18', 'ratio': 70.31678}, {'period': '2023-09-25', 'ratio': 61.76283}, {'period': '2023-10-02', 'ratio': 46.79575}, {'period': '2023-10-09', 'ratio': 45.52706}, {'period': '2023-10-16', 'ratio': 34.66036}, {'period': '2023-10-23', 'ratio': 42.15165}, {'period': '2023-10-30', 'ratio': 38.45403}, {'period': '2023-11-06', 'ratio': 34.73317}, {'period': '2023-11-13', 'ratio': 31.14553}, {'period': '2023-11-20', 'ratio': 22.81155}, {'period': '2023-11-27', 'ratio': 48.33397}, {'period': '2023-12-04', 'ratio': 27.97459}, {'period': '2023-12-11', 'ratio': 25.462}, {'period': '2023-12-18', 'ratio': 20.98055}, {'period': '2023-12-25', 'ratio': 22.16094}, {'period': '2024-01-01', 'ratio': 22.29416}, {'period': '2024-01-08', 'ratio': 20.41979}, {'period': '2024-01-15', 'ratio': 19.48106}, {'period': '2024-01-22', 'ratio': 20.74819}, {'period': '2024-01-29', 'ratio': 19.95042}, {'period': '2024-02-05', 'ratio': 20.50189}, {'period': '2024-02-12', 'ratio': 19.65765}, {'period': '2024-02-19', 'ratio': 18.05127}, {'period': '2024-02-26', 'ratio': 17.9134}, {'period': '2024-03-04', 'ratio': 21.41119}, {'period': '2024-03-11', 'ratio': 19.78622}, {'period': '2024-03-18', 'ratio': 13.1872}, {'period': '2024-03-25', 'ratio': 20.85973}, {'period': '2024-04-01', 'ratio': 100}, {'period': '2024-04-08', 'ratio': 21.36008}, {'period': '2024-04-15', 'ratio': 15.79583}, {'period': '2024-04-22', 'ratio': 15.31872}, {'period': '2024-04-29', 'ratio': 15.87173}, {'period': '2024-05-06', 'ratio': 18.8351}, {'period': '2024-05-13', 'ratio': 14.57207}, {'period': '2024-05-20', 'ratio': 14.86484}, {'period': '2024-05-27', 'ratio': 14.17241}, {'period': '2024-06-03', 'ratio': 12.44365}, {'period': '2024-06-10', 'ratio': 13.29563}, {'period': '2024-06-17', 'ratio': 13.22438}, {'period': '2024-06-24', 'ratio': 11.42746}, {'period': '2024-07-01', 'ratio': 21.38796}, {'period': '2024-07-08', 'ratio': 13.44744}, {'period': '2024-07-15', 'ratio': 12.53194}, {'period': '2024-07-22', 'ratio': 14.55348}, {'period': '2024-07-29', 'ratio': 27.95135}, {'period': '2024-08-05', 'ratio': 33.81457}, {'period': '2024-08-12', 'ratio': 45.17698}, {'period': '2024-08-19', 'ratio': 30.14638}, {'period': '2024-08-26', 'ratio': 21.83254}, {'period': '2024-09-02', 'ratio': 18.00944}, {'period': '2024-09-09', 'ratio': 18.6585}]}]"
박재정,2023-09-18,2024-09-15,week,"[{'title': '박재정', 'keywords': ['박재정'], 'data': [{'period': '2023-09-18', 'ratio': 41.60554}, {'period': '2023-09-25', 'ratio': 31.2917}, {'period': '2023-10-02', 'ratio': 35.85812}, {'period': '2023-10-09', 'ratio': 29.25073}, {'period': '2023-10-16', 'ratio': 31.23723}, {'period': '2023-10-23', 'ratio': 32.70229}, {'period': '2023-10-30', 'ratio': 39.51787}, {'period': '2023-11-06', 'ratio': 38.90304}, {'period': '2023-11-13', 'ratio': 55.57328}, {'period': '2023-11-20', 'ratio': 47.14088}, {'period': '2023-11-27', 'ratio': 100}, {'period': '2023-12-04', 'ratio': 70.0858}, {'period': '2023-12-11', 'ratio': 50.82592}, {'period': '2023-12-18', 'ratio': 42.31959}, {'period': '2023-12-25', 'ratio': 37.82127}, {'period': '2024-01-01', 'ratio': 41.15609}, {'period': '2024-01-08', 'ratio': 36.45154}, {'period': '2024-01-15', 'ratio': 35.7336}, {'period': '2024-01-22', 'ratio': 38.42831}, {'period': '2024-01-29', 'ratio': 23.88466}, {'period': '2024-02-05', 'ratio': 31.72558}, {'period': '2024-02-12', 'ratio': 27.30704}, {'period': '2024-02-19', 'ratio': 22.18222}, {'period': '2024-02-26', 'ratio': 19.95447}, {'period': '2024-03-04', 'ratio': 19.68597}, {'period': '2024-03-11', 'ratio': 21.27556}, {'period': '2024-03-18', 'ratio': 20.47006}, {'period': '2024-03-25', 'ratio': 16.47956}, {'period': '2024-04-01', 'ratio': 20.0751}, {'period': '2024-04-08', 'ratio': 17.752}, {'period': '2024-04-15', 'ratio': 32.72564}, {'period': '2024-04-22', 'ratio': 17.81621}, {'period': '2024-04-29', 'ratio': 23.49553}, {'period': '2024-05-06', 'ratio': 36.90876}, {'period': '2024-05-13', 'ratio': 29.06979}, {'period': '2024-05-20', 'ratio': 65.27423}, {'period': '2024-05-27', 'ratio': 22.76981}, {'period': '2024-06-03', 'ratio': 18.74428}, {'period': '2024-06-10', 'ratio': 32.2081}, {'period': '2024-06-17', 'ratio': 18.88631}, {'period': '2024-06-24', 'ratio': 18.50497}, {'period': '2024-07-01', 'ratio': 13.68756}, {'period': '2024-07-08', 'ratio': 11.58044}, {'period': '2024-07-15', 'ratio': 11.65048}, {'period': '2024-07-22', 'ratio': 11.57655}, {'period': '2024-07-29', 'ratio': 9.57059}, {'period': '2024-08-05', 'ratio': 10.25546}, {'period': '2024-08-12', 'ratio': 11.65437}, {'period': '2024-08-19', 'ratio': 10.89363}, {'period': '2024-08-26', 'ratio': 10.60178}, {'period': '2024-09-02', 'ratio': 10.91503}, {'period': '2024-09-09', 'ratio': 10.20098}]}]"
화사,2023-09-18,2024-09-15,week,"[{'title': '화사', 'keywords': ['화사'], 'data': [{'period': '2023-09-18', 'ratio': 99.83246}, {'period': '2023-09-25', 'ratio': 60.31301}, {'period': '2023-10-02', 'ratio': 100}, {'period': '2023-10-09', 'ratio': 84.37561}, {'period': '2023-10-16', 'ratio': 54.49134}, {'period': '2023-10-23', 'ratio': 38.92648}, {'period': '2023-10-30', 'ratio': 38.02931}, {'period': '2023-11-06', 'ratio': 31.22451}, {'period': '2023-11-13', 'ratio': 21.80976}, {'period': '2023-11-20', 'ratio': 20.28215}, {'period': '2023-11-27', 'ratio': 18.22109}, {'period': '2023-12-04', 'ratio': 17.9191}, {'period': '2023-12-11', 'ratio': 19.07638}, {'period': '2023-12-18', 'ratio': 15.06668}, {'period': '2023-12-25', 'ratio': 82.42918}, {'period': '2024-01-01', 'ratio': 27.5675}, {'period': '2024-01-08', 'ratio': 24.79444}, {'period': '2024-01-15', 'ratio': 16.64719}, {'period': '2024-01-22', 'ratio': 16.58767}, {'period': '2024-01-29', 'ratio': 14.60156}, {'period': '2024-02-05', 'ratio': 14.34145}, {'period': '2024-02-12', 'ratio': 13.74848}, {'period': '2024-02-19', 'ratio': 18.28281}, {'period': '2024-02-26', 'ratio': 16.02336}, {'period': '2024-03-04', 'ratio': 19.5481}, {'period': '2024-03-11', 'ratio': 16.22175}, {'period': '2024-03-18', 'ratio': 18.78981}, {'period': '2024-03-25', 'ratio': 16.02557}, {'period': '2024-04-01', 'ratio': 18.95734}, {'period': '2024-04-08', 'ratio': 12.20103}, {'period': '2024-04-15', 'ratio': 15.34442}, {'period': '2024-04-22', 'ratio': 17.75818}, {'period': '2024-04-29', 'ratio': 13.808}, {'period': '2024-05-06', 'ratio': 15.75002}, {'period': '2024-05-13', 'ratio': 24.43072}, {'period': '2024-05-20', 'ratio': 15.1306}, {'period': '2024-05-27', 'ratio': 22.45343}, {'period': '2024-06-03', 'ratio': 16.88526}, {'period': '2024-06-10', 'ratio': 13.37154}, {'period': '2024-06-17', 'ratio': 15.35324}, {'period': '2024-06-24', 'ratio': 13.80579}, {'period': '2024-07-01', 'ratio': 17.04618}, {'period': '2024-07-08', 'ratio': 22.11396}, {'period': '2024-07-15', 'ratio': 24.00308}, {'period': '2024-07-22', 'ratio': 16.57886}, {'period': '2024-07-29', 'ratio': 18.62008}, {'period': '2024-08-05', 'ratio': 16.86762}, {'period': '2024-08-12', 'ratio': 33.51702}, {'period': '2024-08-19', 'ratio': 20.04849}, {'period': '2024-08-26', 'ratio': 15.4833}, {'period': '2024-09-02', 'ratio': 15.15044}, {'period': '2024-09-09', 'ratio': 22.32558}]}]"
아이브,2023-09-18,2024-09-15,week,"[{'title': '아이브', 'keywords': ['아이브'], 'data': [{'period': '2023-09-18', 'ratio': 41.13978}, {'period': '2023-09-25', 'ratio': 65.02992}, {'period': '2023-10-02', 'ratio': 58.96604}, {'period': '2023-10-09', 'ratio': 80.87776}, {'period': '2023-10-16', 'ratio': 65.88661}, {'period': '2023-10-23', 'ratio': 59.82729}, {'period': '2023-10-30', 'ratio': 53.42082}, {'period': '2023-11-06', 'ratio': 52.44462}, {'period': '2023-11-13', 'ratio': 48.51881}, {'period': '2023-11-20', 'ratio': 44.36674}, {'period': '2023-11-27', 'ratio': 49.6752}, {'period': '2023-12-04', 'ratio': 45.70423}, {'period': '2023-12-11', 'ratio': 43.89278}, {'period': '2023-12-18', 'ratio': 45.66044}, {'period': '2023-12-25', 'ratio': 56.70525}, {'period': '2024-01-01', 'ratio': 48.15387}, {'period': '2024-01-08', 'ratio': 43.35267}, {'period': '2024-01-15', 'ratio': 46.71055}, {'period': '2024-01-22', 'ratio': 41.65298}, {'period': '2024-01-29', 'ratio': 41.18175}, {'period': '2024-02-05', 'ratio': 40.15719}, {'period': '2024-02-12', 'ratio': 40.71098}, {'period': '2024-02-19', 'ratio': 43.47127}, {'period': '2024-02-26', 'ratio': 41.37745}, {'period': '2024-03-04', 'ratio': 37.44161}, {'period': '2024-03-11', 'ratio': 34.43088}, {'period': '2024-03-18', 'ratio': 31.86172}, {'period': '2024-03-25', 'ratio': 31.6829}, {'period': '2024-04-01', 'ratio': 36.47133}, {'period': '2024-04-08', 'ratio': 33.49436}, {'period': '2024-04-15', 'ratio': 42.11188}, {'period': '2024-04-22', 'ratio': 55.53244}, {'period': '2024-04-29', 'ratio': 100}, {'period': '2024-05-06', 'ratio': 65.20235}, {'period': '2024-05-13', 'ratio': 58.98246}, {'period': '2024-05-20', 'ratio': 48.12103}, {'period': '2024-05-27', 'ratio': 39.4442}, {'period': '2024-06-03', 'ratio': 39.81734}, {'period': '2024-06-10', 'ratio': 35.93122}, {'period': '2024-06-17', 'ratio': 34.65121}, {'period': '2024-06-24', 'ratio': 32.46934}, {'period': '2024-07-01', 'ratio': 32.02777}, {'period': '2024-07-08', 'ratio': 30.18255}, {'period': '2024-07-15', 'ratio': 29.21228}, {'period': '2024-07-22', 'ratio': 32.12128}, {'period': '2024-07-29', 'ratio': 34.11885}, {'period': '2024-08-05', 'ratio': 38.25405}, {'period': '2024-08-12', 'ratio': 33.9779}, {'period': '2024-08-19', 'ratio': 30.57441}, {'period': '2024-08-26', 'ratio': 31.68518}, {'period': '2024-09-02', 'ratio': 27.88026}, {'period': '2024-09-09', 'ratio': 26.21387}]}]"
우디,2023-09-18,2024-09-15,week,"[{'title': '우디', 'keywords': ['우디'], 'data': [{'period': '2023-09-18', 'ratio': 35.02531}, {'period': '2023-09-25', 'ratio': 28.46486}, {'period': '2023-10-02', 'ratio': 29.85303}, {'period': '2023-10-09', 'ratio': 25.72804}, {'period': '2023-10-16', 'ratio': 22.22798}, {'period': '2023-10-23', 'ratio': 37.18661}, {'period': '2023-10-30', 'ratio': 100}, {'period': '2023-11-06', 'ratio': 90.01852}, {'period': '2023-11-13', 'ratio': 41.76114}, {'period': '2023-11-20', 'ratio': 30.42855}, {'period': '2023-11-27', 'ratio': 31.79202}, {'period': '2023-12-04', 'ratio': 39.49857}, {'period': '2023-12-11', 'ratio': 40.82993}, {'period': '2023-12-18', 'ratio': 23.20118}, {'period': '2023-12-25', 'ratio': 14.53377}, {'period': '2024-01-01', 'ratio': 15.5292}, {'period': '2024-01-08', 'ratio': 15.64283}, {'period': '2024-01-15', 'ratio': 17.61393}, {'period': '2024-01-22', 'ratio': 14.81042}, {'period': '2024-01-29', 'ratio': 14.24478}, {'period': '2024-02-05', 'ratio': 12.58984}, {'period': '2024-02-12', 'ratio': 13.25676}, {'period': '2024-02-19', 'ratio': 13.81005}, {'period': '2024-02-26', 'ratio': 16.88773}, {'period': '2024-03-04', 'ratio': 12.18722}, {'period': '2024-03-11', 'ratio': 12.659}, {'period': '2024-03-18', 'ratio': 21.69445}, {'period': '2024-03-25', 'ratio': 21.77102}, {'period': '2024-04-01', 'ratio': 52.45399}, {'period': '2024-04-08', 'ratio': 30.85093}, {'period': '2024-04-15', 'ratio': 28.13387}, {'period': '2024-04-22', 'ratio': 21.84265}, {'period': '2024-04-29', 'ratio': 20.0247}, {'period': '2024-05-06', 'ratio': 22.33666}, {'period': '2024-05-13', 'ratio': 24.31764}, {'period': '2024-05-20', 'ratio': 30.02099}, {'period': '2024-05-27', 'ratio': 36.26528}, {'period': '2024-06-03', 'ratio': 16.44559}, {'period': '2024-06-10', 'ratio': 13.05421}, {'period': '2024-06-17', 'ratio': 13.72854}, {'period': '2024-06-24', 'ratio': 42.50463}, {'period': '2024-07-01', 'ratio': 21.64752}, {'period': '2024-07-08', 'ratio': 17.02111}, {'period': '2024-07-15', 'ratio': 21.78831}, {'period': '2024-07-22', 'ratio': 23.16413}, {'period': '2024-07-29', 'ratio': 27.60034}, {'period': '2024-08-05', 'ratio': 21.50426}, {'period': '2024-08-12', 'ratio': 38.80202}, {'period': '2024-08-19', 'ratio': 32.72076}, {'period': '2024-08-26', 'ratio': 40.04446}, {'period': '2024-09-02', 'ratio': 30.05804}, {'period': '2024-09-09', 'ratio': 24.30282}]}]"
