artist,response.startDate,response.endDate,response.timeUnit,response.results
악뮤,2024-09-09,2024-09-26,week,"[{'title': '악뮤', 'keywords': ['악뮤'], 'data': [{'period': '2024-09-09', 'ratio': 70.51358}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 28.95102}]}]"
다이나믹 듀오,2024-09-09,2024-09-26,week,"[{'title': '다이나믹 듀오', 'keywords': ['다이나믹 듀오'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 89.16832}, {'period': '2024-09-23', 'ratio': 48.11383}]}]"
이영지,2024-09-09,2024-09-26,week,"[{'title': '이영지', 'keywords': ['이영지'], 'data': [{'period': '2024-09-09', 'ratio': 92.28727}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 30.68948}]}]"
뉴진스,2024-09-09,2024-09-26,week,"[{'title': '뉴진스', 'keywords': ['뉴진스'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 22.44168}, {'period': '2024-09-23', 'ratio': 21.81412}]}]"
정국,2024-09-09,2024-09-26,week,"[{'title': '정국', 'keywords': ['정국'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 41.91656}, {'period': '2024-09-23', 'ratio': 8.81744}]}]"
전소미,2024-09-09,2024-09-26,week,"[{'title': '전소미', 'keywords': ['전소미'], 'data': [{'period': '2024-09-09', 'ratio': 100}, {'period': '2024-09-16', 'ratio': 88.40182}, {'period': '2024-09-23', 'ratio': 29.75508}]}]"
박재정,2024-09-09,2024-09-26,week,"[{'title': '박재정', 'keywords': ['박재정'], 'data': [{'period': '2024-09-09', 'ratio': 78.35898}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 35.60005}]}]"
화사,2024-09-09,2024-09-26,week,"[{'title': '화사', 'keywords': ['화사'], 'data': [{'period': '2024-09-09', 'ratio': 15.68724}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 54.79693}]}]"
아이브,2024-09-09,2024-09-26,week,"[{'title': '아이브', 'keywords': ['아이브'], 'data': [{'period': '2024-09-09', 'ratio': 90.08041}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 34.184}]}]"
우디,2024-09-09,2024-09-26,week,"[{'title': '우디', 'keywords': ['우디'], 'data': [{'period': '2024-09-09', 'ratio': 82.65983}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 43.08157}]}]"
스테이씨,2024-09-09,2024-09-26,week,"[{'title': '스테이씨', 'keywords': ['스테이씨'], 'data': [{'period': '2024-09-09', 'ratio': 89.67652}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 37.8473}]}]"
여자 아이들,2024-09-09,2024-09-26,week,"[{'title': '여자 아이들', 'keywords': ['여자 아이들'], 'data': [{'period': '2024-09-09', 'ratio': 92.25541}, {'period': '2024-09-16', 'ratio': 100}, {'period': '2024-09-23', 'ratio': 35.97102}]}]"
