,artist,week,ratio,Artist,New_Artist
0,#안녕,2023-09-24,13.34714,#안녕,#안녕
1,#안녕,2023-10-01,14.32376,#안녕,#안녕
2,#안녕,2023-10-08,16.12903,#안녕,#안녕
3,#안녕,2023-10-15,15.87254,#안녕,#안녕
4,#안녕,2023-10-22,15.47795,#안녕,#안녕
5,#안녕,2023-10-29,20.52875,#안녕,#안녕
6,#안녕,2023-11-05,100.0,#안녕,#안녕
7,#안녕,2023-11-12,33.33333,#안녕,#안녕
8,#안녕,2023-11-19,94.99852,#안녕,#안녕
9,#안녕,2023-11-26,58.73532,#안녕,#안녕
10,#안녕,2023-12-03,34.379,#안녕,#안녕
11,#안녕,2023-12-10,29.92009,#안녕,#안녕
12,#안녕,2023-12-17,21.57443,#안녕,#안녕
13,#안녕,2023-12-24,60.40248,#안녕,#안녕
14,#안녕,2023-12-31,30.14698,#안녕,#안녕
15,#안녕,2024-01-07,27.09874,#안녕,#안녕
16,#안녕,2024-01-14,59.32721,#안녕,#안녕
17,#안녕,2024-01-21,44.39183,#안녕,#안녕
18,#안녕,2024-01-28,31.71549,#안녕,#안녕
19,#안녕,2024-02-04,25.52037,#안녕,#안녕
20,#안녕,2024-02-11,24.18861,#안녕,#안녕
21,#안녕,2024-02-18,25.88537,#안녕,#안녕
22,#안녕,2024-02-25,43.57304,#안녕,#안녕
23,#안녕,2024-03-03,32.43563,#안녕,#안녕
24,#안녕,2024-03-10,22.8174,#안녕,#안녕
25,#안녕,2024-03-17,24.29712,#안녕,#안녕
26,#안녕,2024-03-24,26.42793,#안녕,#안녕
27,#안녕,2024-03-31,21.3278,#안녕,#안녕
28,#안녕,2024-04-07,23.83348,#안녕,#안녕
29,#안녕,2024-04-14,19.17727,#안녕,#안녕
30,#안녕,2024-04-21,18.06254,#안녕,#안녕
31,#안녕,2024-04-28,19.27591,#안녕,#안녕
32,#안녕,2024-05-05,24.80023,#안녕,#안녕
33,#안녕,2024-05-12,21.07132,#안녕,#안녕
34,#안녕,2024-05-19,20.63726,#안녕,#안녕
35,#안녕,2024-05-26,13.83052,#안녕,#안녕
36,#안녕,2024-06-02,13.51484,#안녕,#안녕
37,#안녕,2024-06-09,28.29239,#안녕,#안녕
38,#안녕,2024-06-16,97.45486,#안녕,#안녕
39,#안녕,2024-06-23,86.78109,#안녕,#안녕
40,#안녕,2024-06-30,74.65719,#안녕,#안녕
41,#안녕,2024-07-07,93.12419,#안녕,#안녕
42,#안녕,2024-07-14,51.68195,#안녕,#안녕
43,#안녕,2024-07-21,37.44697,#안녕,#안녕
44,#안녕,2024-07-28,28.97306,#안녕,#안녕
45,#안녕,2024-08-04,30.65009,#안녕,#안녕
46,#안녕,2024-08-11,31.03482,#안녕,#안녕
47,#안녕,2024-08-18,25.95442,#안녕,#안녕
48,#안녕,2024-08-25,28.34171,#안녕,#안녕
49,#안녕,2024-09-01,28.69685,#안녕,#안녕
50,10cm,2023-09-24,28.42956,10cm,10cm
51,10cm,2023-10-01,28.77764,10cm,10cm
52,10cm,2023-10-08,26.13295,10cm,10cm
53,10cm,2023-10-15,23.71689,10cm,10cm
54,10cm,2023-10-22,22.08572,10cm,10cm
55,10cm,2023-10-29,23.19137,10cm,10cm
56,10cm,2023-11-05,20.22249,10cm,10cm
57,10cm,2023-11-12,23.96259,10cm,10cm
58,10cm,2023-11-19,20.36582,10cm,10cm
59,10cm,2023-11-26,19.1885,10cm,10cm
60,10cm,2023-12-03,25.84288,10cm,10cm
61,10cm,2023-12-10,28.75716,10cm,10cm
62,10cm,2023-12-17,32.11165,10cm,10cm
63,10cm,2023-12-24,32.09459,10cm,10cm
64,10cm,2023-12-31,26.73013,10cm,10cm
65,10cm,2024-01-07,24.07521,10cm,10cm
66,10cm,2024-01-14,31.35408,10cm,10cm
67,10cm,2024-01-21,44.90854,10cm,10cm
68,10cm,2024-01-28,31.72604,10cm,10cm
69,10cm,2024-02-04,26.41277,10cm,10cm
70,10cm,2024-02-11,25.58353,10cm,10cm
71,10cm,2024-02-18,26.10906,10cm,10cm
72,10cm,2024-02-25,25.72345,10cm,10cm
73,10cm,2024-03-03,25.3822,10cm,10cm
74,10cm,2024-03-10,30.48389,10cm,10cm
75,10cm,2024-03-17,28.79811,10cm,10cm
76,10cm,2024-03-24,30.73983,10cm,10cm
77,10cm,2024-03-31,44.84711,10cm,10cm
78,10cm,2024-04-07,39.55432,10cm,10cm
79,10cm,2024-04-14,43.09991,10cm,10cm
80,10cm,2024-04-21,40.776,10cm,10cm
81,10cm,2024-04-28,56.71239,10cm,10cm
82,10cm,2024-05-05,74.17758,10cm,10cm
83,10cm,2024-05-12,61.11452,10cm,10cm
84,10cm,2024-05-19,45.15083,10cm,10cm
85,10cm,2024-05-26,48.10606,10cm,10cm
86,10cm,2024-06-02,59.54477,10cm,10cm
87,10cm,2024-06-09,34.99863,10cm,10cm
88,10cm,2024-06-16,100.0,10cm,10cm
89,10cm,2024-06-23,32.88629,10cm,10cm
90,10cm,2024-06-30,34.24447,10cm,10cm
91,10cm,2024-07-07,24.00013,10cm,10cm
92,10cm,2024-07-14,21.18482,10cm,10cm
93,10cm,2024-07-21,20.89817,10cm,10cm
94,10cm,2024-07-28,17.90199,10cm,10cm
95,10cm,2024-08-04,20.89134,10cm,10cm
96,10cm,2024-08-11,23.07534,10cm,10cm
97,10cm,2024-08-18,18.99058,10cm,10cm
98,10cm,2024-08-25,27.62762,10cm,10cm
99,10cm,2024-09-01,21.29743,10cm,10cm
100,2am,2023-12-31,35.32392,2am,2am
101,2am,2024-01-28,15.37049,2am,2am
102,WSG워너비,2023-09-24,85.3409,WSG워너비 (가야G),WSG워너비
103,WSG워너비,2023-10-01,96.93181,WSG워너비 (가야G),WSG워너비
104,WSG워너비,2023-10-08,86.77272,WSG워너비 (가야G),WSG워너비
105,WSG워너비,2023-10-15,86.86363,WSG워너비 (가야G),WSG워너비
106,WSG워너비,2023-10-22,87.5909,WSG워너비 (가야G),WSG워너비
107,WSG워너비,2023-10-29,92.68181,WSG워너비 (가야G),WSG워너비
108,WSG워너비,2023-11-05,78.93181,WSG워너비 (가야G),WSG워너비
109,WSG워너비,2023-11-19,71.72727,WSG워너비 (가야G),WSG워너비
110,가호,2023-12-31,94.66343,가호 (Gaho),가호
111,강민경,2024-01-14,42.36111,강민경,강민경
112,거미,2023-09-24,43.36905,거미,거미
113,거미,2023-10-01,40.13929,거미,거미
114,거미,2023-12-17,32.93637,거미,거미
115,거미,2023-12-24,67.83226,거미,거미
116,거미,2023-12-31,36.04705,거미,거미
117,거미,2024-01-07,32.72707,거미,거미
118,거미,2024-01-14,55.80455,거미,거미
119,거미,2024-01-21,42.97932,거미,거미
120,거미,2024-01-28,35.70423,거미,거미
121,거미,2024-02-04,42.7231,거미,거미
122,거미,2024-02-11,84.10017,거미,거미
123,거미,2024-02-18,64.84789,거미,거미
124,거미,2024-02-25,53.35065,거미,거미
125,거미,2024-03-03,40.45324,거미,거미
126,거미,2024-03-10,33.3622,거미,거미
127,거북이,2024-07-21,57.35135,거북이,거북이
128,거북이,2024-07-28,62.19907,거북이,거북이
129,거북이,2024-08-04,61.20887,거북이,거북이
130,거북이,2024-08-11,60.82875,거북이,거북이
131,거북이,2024-08-18,61.99727,거북이,거북이
132,거북이,2024-08-25,62.44309,거북이,거북이
133,경서,2023-09-24,36.06336,경서,경서
134,경서,2023-10-01,31.8368,경서,경서
135,경서,2023-10-08,46.4432,경서,경서
