Rank,Title,Artist,Production
1,Ditto,NewJeans,ADOR
2,사건의 지평선,윤하,C9엔터테인먼트
3,OMG,NewJeans,ADOR
4,Hype boy,NewJeans,ADOR
5,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,Stone Music Entertainment
6,Candy,NCT DREAM,SM Entertainment
7,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직
8,After LIKE,IVE (아이브),스타쉽엔터테인먼트
9,Attention,NewJeans,ADOR
10,Nxde,(여자)아이들,큐브엔터테인먼트
11,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO),Stone Music Entertainment
12,마이웨이 (MY WAY) (Prod. R.Tee),"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",Stone Music Entertainment
13,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트
14,Monologue,테이 (Tei),방구석 캐스팅
15,너의 모든 순간,성시경,SBS 콘텐츠허브
16,Cookie,NewJeans,ADOR
17,Dreamers (Feat. FIFA Sound),"정국, 방탄소년단",Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC
18,Shut Down,BLACKPINK,YG Entertainment
19,WHEN I MOVE,카라 (KARA),RBW
20,사랑은 늘 도망가,임영웅,모스트콘텐츠
21,FEARLESS,LE SSERAFIM (르세라핌),쏘스뮤직
22,그대를 알고,송하예,디스튜디오
23,Rush Hour (Feat. j-hope of BTS),크러쉬 (CRUSH),피네이션
24,사랑인가 봐,멜로망스(Melomance),플렉스엠
25,Pink Venom,BLACKPINK,YG Entertainment
26,잘가요,주호,레이벡스
27,해요 (2022),#안녕,일팔 프로젝트
28,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),MBC
29,TOMBOY,(여자)아이들,큐브엔터테인먼트
30,그라데이션,10cm,매직스트로베리사운드
31,딱 10CM만,"10cm, BIG Naughty (서동현)","MAGIC STRAWBERRY SOUND, H1GHR MUSIC RECORDS"
32,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),H1GHR MUSIC
33,나의 X에게,경서,꿈의엔진
34,내가 아니라도,주호,IN A MILLION
35,"미운오리새끼 (Feat. 선우정아, BOBBY) (Prod. R.Tee)",허성현 (Huh),Stone Music Entertainment
36,자격지심 (Feat. ZICO),BE`O (비오),"빅플래닛메이드, SWING ENTERTAINMENT, 페임어스 엔터테인먼트"
37,취중고백,김민석,프로젝트 리본
38,오르트구름,윤하,C9엔터테인먼트
39,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)",던말릭 (Don Malik),Stone Music Entertainment
40,ELEVEN,IVE (아이브),스타쉽엔터테인먼트
41,That`s Hilarious,Charlie Puth,Atlantic Records UK
42,Say I Love You,우디(Woody),메이저나인
43,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우
44,Snowman,Sia,"Monkey Puzzle, Atlantic"
45,첫사랑,백아,Baek A
46,그댄 행복에 살텐데 (2022),최유리,일팔 프로젝트
47,보고싶었어,WSG워너비 (4FIRE),MBC
48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,SM Entertainment
49,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트"
50,눈이 오잖아 (Feat.헤이즈),이무진,쇼플레이
51,아픈 나를,성시경,롱플레이뮤직
52,그 겨울이 잠든 거리에서,"경서예지, 전건호",에버그로우
