n,담당자,Artist,dcinside_ID,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
1,김지훈,AKMU (악뮤),akdong,,,,,,,
2,김지훈,NewJeans,newjeans,,,,,,,
3,김지훈,정국,jungkook,,,,,,,
4,김지훈,전소미,jeonsomi,,,,,,,
5,김지훈,박재정,jjp,,,,,,,
6,김지훈,화사(Hwa Sa),hwasa,,,,,,,
7,김지훈,IVE (아이브),starshipgirls,,,,,,,
8,김지훈,우디(Woody),woody0,,,,,,,
9,김지훈,STAYC(스테이씨),stayc,,,,,,,
10,김지훈,(여자)아이들,idlesong,,,,,,,
11,김지훈,LE SSERAFIM (르세라핌),lesserafim,,,,,,,
12,김지훈,Lauv,lauv,,,,,,,
13,김지훈,aespa,aespa,,,,,,,
14,김지훈,로이킴,roykim,,,,,,,
15,김지훈,윤하,yunha,,,,,,,
16,김지훈,BIG Naughty (서동현),bignaughty,,,,,,,
17,김지훈,Paul Blanco,paulblanco,,,,,,,
18,김지훈,RIIZE,riize,,,,,,,
19,김지훈,ITZY (있지),itzy,,,,,,,
20,김지훈,성시경,sikyung,,,,,,,
21,김지훈,임영웅,youngwoong,,,,,,,
22,김지훈,DK,narcdk,,,,,,,
23,김지훈,잔나비,band_jannabi,,,,,,,
24,김지훈,탑현,,,,,,,,
25,김지훈,Charlie Puth,charliputh,,,,,,,
26,김지훈,V,btsv,,,,,,,
27,김지훈,멜로망스(Melomance),melomance,,,,,,,
28,김지훈,세븐틴,seventeen,,,,,,,
29,김지훈,크러쉬 (CRUSH),crush,,,,,,,
30,김지훈,H1-KEY,h1key,,,,,,,
31,김지훈,지수 (JISOO),jisoo95,,,,,,,
32,김지훈,임한별,onestar,,,,,,,
33,김지훈,김민석,tenorkms,,,,,,,
34,김지훈,NCT U,nctu,,,,,,,
35,김지훈,이세계 아이돌,leesedol,,,,,,,
36,김지훈,허각,huhgak,,,,,,,
37,김지훈,부석순 (SEVENTEEN),bss,,,,,,,
38,김지훈,디오 (D.O.),dohkyungsoo,,,,,,,
39,김지훈,케이시 (Kassy),kassy,,,,,,,
40,김지훈,#안녕,,,,,,,,
41,김지훈,우효 (OOHYO),oohyo,,,,,,,
42,김지훈,지민,btsjimin,,,,,,,
43,김지훈,FIFTY FIFTY,fiftyfifty,,,,,,,
44,김지훈,NCT DREAM,nctdream,,,,,,,
45,김지훈,방탄소년단,bts,,,,,,,
46,김지훈,이무진,leemujin,,,,,,,
47,김지훈,폴킴,paulinlove,,,,,,,
48,김지훈,제이세라 (J-Cera),,,,,,,,
49,김지훈,Agust D,,,,,,,,
50,김지훈,테이 (Tei),tei,,,,,,,
51,최대근,지아 (Zia),zzangbourzia860721,,,,,,,
52,최대근,오마이걸 (OH MY GIRL),ohmygirl,,,,,,,
53,최대근,10cm,10cm,,,,,,,
54,최대근,경서,kyeongseo,,,,,,,
55,최대근,Doja Cat,dojacat,,,,,,,
56,최대근,던 (DAWN),,,,,,,,
57,최대근,권은비,kwoneunbi,,,,,,,
58,최대근,바이브 (Vibe),vibe,,,,,,,
59,최대근,미연 ((여자)아이들),miyeon,,,,,,,
60,최대근,너드커넥션 (Nerd Connection),nerd_connection,,,,,,,
61,최대근,아이유 (IU),iu_new,,,,,,,
62,최대근,릴러말즈 (Leellamarz),leellamarz,,,,,,, 
63,최대근,BOYNEXTDOOR,boynextdoor_koz,,,,,,,
64,최대근,임재현,limjaehyun1021,,,,,,,
65,최대근,YOASOBI,yoasobi,,,,,,,
66,최대근,BLACKPINK,blackpink,,,,,,,
67,최대근,DAY6,day6,,,,,,,
69,최대근,백아,95_baek_a,,,,,,,
70,최대근,imase,imase,,,,,,,
73,최대근,영탁,youngtak,,,,,,,
74,최대근,주호,solojuho,,,,,,,
75,최대근,Justin Bieber,45678,,,,,,,
76,최대근,KISS OF LIFE,kissoflife,,,,,,,
77,최대근,거미,gummy,,,,,,,
78,최대근,지코 (ZICO),zico,,,,,,,
79,최대근,Anne-Marie,annemarie,,,,,,,
80,최대근,죠지,leegeorgezzang,,,,,,,
81,최대근,비투비 (BTOB),btob,,,,,,,
82,최대근,WSG워너비 (가야G),gayag,,,,,,,
83,최대근,Yyeon,yyeonlove,,,,,,,
84,최대근,ZEROBASEONE (제로베이스원),bp1debut,,,,,,,
85,최대근,이채연,leechaeyeon,,,,,,,
86,최대근,Sondia,,손디아 얘도 듣보라서 갤러리 없음,,,,,,
87,최대근,에일리 (Ailee),ailee,,,,,,,
88,최대근,노을,noel,,,,,,,
89,최대근,백예린,soulyerin1,,,,,,,
90,최대근,Sam Smith,samsmith,,,,,,,
91,최대근,"허용별 (허각, 신용재, 임한별)",hyb,,,,,,,
92,최대근,Ed Sheeran,edsheeran,,,,,,,
93,최대근,데이먼스 이어 (Damons Year),damonsyear,,,,,,,
94,최대근,NMIXX,nmixx,,,,,,,
95,최대근,마크툽 (Maktub),maktub,,,,,,,
96,최대근,헤이즈 (Heize),girl_heize,,,,,,,
97,최대근,김승민,seungmin,,,,,,,
98,최대근,엠씨더맥스 (M.C The Max),mcthemax,,,,,,,
99,최대근,Yuuri,yuurri,,,,,,,
100,정진우,BE`O (비오),beo,,,,,,,
101,정진우,태연 (TAEYEON),taeyeon_new1,,,,,,,
102,정진우,NCT 127,nct127,,,,,,,
103,정진우,제니 (JENNIE),jennie,,,,,,,
104,정진우,김호중,hojoong,,,,,,,
105,정진우,최유리,choiyuree,,,,,,,
106,정진우,dori,dorii,,,,,,,
107,정진우,온앤오프 (ONF),onf,,,,,,,
108,정진우,투모로우바이투게더,txt,,,,,,,
109,정진우,쿠기 (Coogie),coogie,,,,,,,
110,정진우,이효리,leehyolee,,,,,,,
111,정진우,선미,sunmi,,,,,,,
112,정진우,PLAVE,plave,,,,,,,
113,정진우,빅마마 (BigMama),bigmama,,,,,,,
114,정진우,양다일,yangdail,,,,,,,
115,정진우,로꼬 (LOCO),satgotloco1989,,,,,,,
116,정진우,정승환,jsh,,,,,,,
117,정진우,포지션,,,,,,,,
118,정진우,김필,feelkim,,,,,,,
119,정진우,태민 (TAEMIN),taemin,,,,,,,
120,정진우,황영웅,herohwangtrot,,,,,,,
121,정진우,범진,,,,,,,,
122,정진우,에픽하이 (EPIK HIGH),epikhigh,,,,,,,
123,정진우,기리보이(Giriboy),giriboy,,,,,,,
124,정진우,박은빈,eunbin,,,,,,,
125,정진우,Stray Kids (스트레이 키즈),straykids,,,,,,,
126,정진우,포레스텔라(Forestella),forestella,,,,,,,
127,정진우,Ariana Grande,ari,,,,,,,
128,정진우,Sia,siagallery,,,,,,,
129,정진우,EXO,exo_new,,,,,,,
130,정진우,주주 시크릿,,,,,,,,
131,정진우,경서예지,gyeongseoyeji,,,,,,,
132,정진우,레드벨벳(Red Velvet),redvelvet,,,,,,,
133,정진우,다비치,davichi,,,,,,,
134,정진우,Mariah Carey,mariah,,,,,,,
135,정진우,김나영,ny1,,,,,,,
136,정진우,ENHYPEN,ilandiland,,,,,,,
137,정진우,이찬원,leechanwon,,,,,,,
138,정진우,Kelly Clarkson,,,,,,,,
139,정진우,Alessia Cara,,,,,,,,
140,정진우,DEAN,dean123,,,,,,,
141,정진우,QWER,qwer_fan,,,,,,,
142,정진우,더보이즈(THE BOYZ),theboyz,,,,,,,
143,정진우,윈터 (WINTER),smwinter,,,,,,,
144,정진우,"SG워너비, 브라운 아이드 걸스",,,,,,,,
145,정진우,ATEEZ (에이티즈),ateez,,,,,,,
146,정진우,BABYMONSTER,babymonster,,,,,,,
147,정진우,Ava Max,ava28,,,,,,,
148,정진우,Straight No Chaser,,,,,,,,
149,정진우,Wham!,wham,,,,,,,
150,현창민,김동률,kimdongryul,,,,,,,
151,현창민,원탑,,,,,,,,
152,현창민,권진아,jina,,,,,,,
153,현창민,자이언티(Zion.T),ziont,,,,,,,
154,현창민,VIVIZ (비비지),vivizverygood,,,,,,,
155,현창민,Michael Buble,michaelbuble,,,,,,,
156,현창민,볼빨간사춘기,bolbbalgan4,,,,,,,
157,현창민,"이하이, 성시경",,,,,,,,
158,현창민,순순희(기태),soonsoonhee,,,,,,,
159,현창민,Jonas Brothers,jbros,,,,,,,
160,현창민,ASH ISLAND,clloud,,,,,,,
161,현창민,TWICE,twice_new,,,,,,,
162,현창민,Brenda Lee,,,,,,,,
163,현창민,John Legend,johnlegend,,,,,,,
164,현창민,김진표,,,,,,,,
165,현창민,Taylor Swift,queentaylor,,,,,,,
166,현창민,린 (LYn),lyn,,,,,,,
167,현창민,우주소녀,cosmicgirl,,,,,,,
168,현창민,이찬혁,leechanhyuk,,,,,,,
169,현창민,가호 (Gaho),,,,,,,,
170,현창민,PITTA (강형호),pitta0328,,,,,,,
171,현창민,2AM,2AM,,,,,,,
172,현창민,츄(Chuu),kimjiwoo,,,,,,,
173,현창민,안세하,nocounting,,,,,,,
174,현창민,규현 (KYUHYUN),shkim,,,,,,,
175,현창민,홍이삭,isaachong,,,,,,,
176,현창민,소수빈,ssb49,,,,,,,
177,현창민,먼데이 키즈 (Monday Kiz),mondaykiz,,,,,,,
178,현창민,SF9 (에스에프나인),sf9,,,,,,,
179,현창민,이지 (izi),,,,,,,,
180,현창민,황치열,tj3579,,,,,,,
181,현창민,장하오 (ZEROBASEONE),zhanghaomini,,,,,,,
182,현창민,화곡동 청개구리,,,,,,,,
183,현창민,씨스타19,,,,,,,,
184,현창민,그루비룸 (GroovyRoom),groovyroom,,,,,,,
185,현창민,강민경,gmg,,,,,,,
186,현창민,이하이,leehi,,,,,,,
187,현창민,YB (윤도현 밴드),ydh,,,,,,,
188,현창민,YENA(최예나),chaeyaena,,,,,,,
189,현창민,KCM,kcm,,,,,,,
190,현창민,이젤 (EJel),ejel,,,,,,,
191,현창민,TWS (투어스),tws,,,,,,,
192,현창민,김재환,kimjaehwan,,,,,,,
193,현창민,J.Tajor,,,,,,,,
194,현창민,WOOZI (SEVENTEEN),leejihoon,,,,,,,
