date,Rank,Artist,Weekly Views
2023-09-24,1,AKMU (악뮤),11929992.0
2023-09-24,2,AKMU (악뮤),11929992.0
2023-09-24,3,"다이나믹 듀오 (Dynamic Duo), 이영지",4473459.0
2023-09-24,4,NewJeans,11655019.0
2023-09-24,5,정국,4173726.0
2023-09-24,6,NewJeans,11655019.0
2023-09-24,7,전소미,2838121.0
2023-09-24,8,박재정,2101694.0
2023-09-24,9,화사(Hwa Sa),1798695.0
2023-09-24,10,IVE (아이브),9874062.0
2023-09-24,11,우디(Woody),1743014.0
2023-09-24,12,STAYC(스테이씨),3264422.0
2023-09-24,13,(여자)아이들,4015230.0
2023-09-24,14,IVE (아이브),9874062.0
2023-09-24,15,LE SSERAFIM (르세라핌),4688291.0
2023-09-24,16,NewJeans,11655019.0
2023-09-24,17,Lauv,3504236.0
2023-09-24,18,aespa,4995647.0
2023-09-24,19,NewJeans,11655019.0
2023-09-24,20,IVE (아이브),9874062.0
2023-09-24,21,NewJeans,11655019.0
2023-09-24,22,로이킴,1925848.0
2023-09-24,23,윤하,4339381.0
2023-09-24,24,BIG Naughty (서동현),4863178.0
2023-09-24,25,LE SSERAFIM (르세라핌),4688291.0
2023-09-24,26,정국,4173726.0
2023-09-24,27,AKMU (악뮤),11929992.0
2023-09-24,28,Paul Blanco,2255000.0
2023-09-24,29,RIIZE,
2023-09-24,30,IVE (아이브),9874062.0
2023-09-24,31,NewJeans,11655019.0
2023-09-24,32,정국,4173726.0
2023-09-24,33,NewJeans,11655019.0
2023-09-24,34,ITZY (있지),2585403.0
2023-09-24,35,IVE (아이브),9874062.0
2023-09-24,36,성시경,3555336.0
2023-09-24,37,임영웅,5430728.0
2023-09-24,38,IVE (아이브),9874062.0
2023-09-24,39,DK,
2023-09-24,40,잔나비,3426583.0
2023-09-24,41,탑현,
2023-09-24,42,Charlie Puth,3727492.0
2023-09-24,43,V,9874062.0
2023-09-24,44,멜로망스(Melomance),2467570.0
2023-09-24,45,STAYC(스테이씨),3264422.0
2023-09-24,46,NewJeans,11655019.0
2023-09-24,47,세븐틴,4099014.0
2023-09-24,48,크러쉬 (CRUSH),2113066.0
2023-09-24,49,H1-KEY,
2023-09-24,50,지수 (JISOO),
2023-09-24,51,V,9874062.0
2023-09-24,52,임한별,1664288.0
2023-09-24,53,김민석,
2023-09-24,54,NCT U,1720691.0
2023-09-24,55,"The Kid LAROI, Justin Bieber",
2023-09-24,56,이세계 아이돌,
2023-09-24,57,"경서예지, 전건호",1586369.0
2023-09-24,58,aespa,4995647.0
2023-09-24,59,LE SSERAFIM (르세라핌),4688291.0
2023-09-24,60,허각,2468924.0
2023-09-24,61,부석순 (SEVENTEEN),4099014.0
2023-09-24,62,Charlie Puth,3727492.0
2023-09-24,63,디오 (D.O.),
2023-09-24,64,디오 (D.O.),
2023-09-24,65,케이시 (Kassy),
2023-09-24,66,#안녕,
2023-09-24,67,임영웅,5430728.0
2023-09-24,68,우효 (OOHYO),
2023-09-24,69,지민,
2023-09-24,70,FIFTY FIFTY,
2023-09-24,71,"김연지, DK",
2023-09-24,72,NCT DREAM,2295308.0
2023-09-24,73,NewJeans,11655019.0
2023-09-24,74,방탄소년단,4712538.0
2023-09-24,75,임영웅,5430728.0
2023-09-24,76,이무진,1681594.0
2023-09-24,77,폴킴,2211380.0
2023-09-24,78,Charlie Puth,3727492.0
2023-09-24,79,제이세라 (J-Cera),
2023-09-24,80,Agust D,
2023-09-24,81,테이 (Tei),
2023-09-24,82,지아 (Zia),1717017.0
2023-09-24,83,임영웅,5430728.0
2023-09-24,84,(여자)아이들,4015230.0
2023-09-24,85,오마이걸 (OH MY GIRL),1818769.0
2023-09-24,86,10cm,3657222.0
2023-09-24,87,경서,1586369.0
2023-09-24,88,V,9874062.0
2023-09-24,89,방탄소년단,4712538.0
2023-09-24,90,Doja Cat,1492017.0
2023-09-24,91,던 (DAWN),
2023-09-24,92,권은비,
2023-09-24,93,바이브 (Vibe),
2023-09-24,94,방탄소년단,4712538.0
2023-09-24,95,임영웅,5430728.0
2023-09-24,96,"정국, 방탄소년단",4173726.0
2023-09-24,97,미연 ((여자)아이들),4015230.0
2023-09-24,98,너드커넥션 (Nerd Connection),
2023-09-24,99,"Zac Efron, Zendaya",
