New_Artist,date,ratio
악뮤,2023-09-17,100.0
악뮤,2023-09-24,94.32015
악뮤,2023-10-01,76.40452
악뮤,2023-10-08,65.91209
악뮤,2023-10-15,54.6259
악뮤,2023-10-22,51.85947
악뮤,2023-10-29,50.72174
악뮤,2023-11-05,42.04615
악뮤,2023-11-12,38.82698
악뮤,2023-11-19,40.00881
악뮤,2023-11-26,39.81478
악뮤,2023-12-03,43.57195
악뮤,2023-12-10,41.7257
악뮤,2023-12-17,41.31412
악뮤,2023-12-24,35.98412
악뮤,2023-12-31,36.4398
악뮤,2024-01-07,27.93767
악뮤,2024-01-14,21.94326
악뮤,2024-01-21,19.67073
악뮤,2024-01-28,16.29869
악뮤,2024-02-04,17.48934
악뮤,2024-02-11,14.94634
악뮤,2024-02-18,13.92326
악뮤,2024-02-25,13.64398
악뮤,2024-03-03,11.38615
악뮤,2024-03-10,11.95942
악뮤,2024-03-17,12.72085
악뮤,2024-03-24,17.58929
악뮤,2024-03-31,15.51962
악뮤,2024-04-07,21.25532
악뮤,2024-04-14,18.924
악뮤,2024-04-21,15.22563
악뮤,2024-04-28,14.21431
악뮤,2024-05-05,13.65574
악뮤,2024-05-12,14.80229
악뮤,2024-05-19,20.07643
악뮤,2024-05-26,22.31662
악뮤,2024-06-02,50.76877
악뮤,2024-06-09,32.69439
악뮤,2024-06-16,21.27296
악뮤,2024-06-23,14.24371
악뮤,2024-06-30,14.24665
악뮤,2024-07-07,12.37101
악뮤,2024-07-14,11.23327
악뮤,2024-07-21,10.63648
악뮤,2024-07-28,10.17198
악뮤,2024-08-04,10.5718
악뮤,2024-08-11,11.88887
악뮤,2024-08-18,12.31809
악뮤,2024-08-25,10.93635
악뮤,2024-09-01,11.62428
악뮤,2024-09-08,10.45421
다이나믹 듀오,2023-09-17,100.0
다이나믹 듀오,2023-09-24,58.73076
다이나믹 듀오,2023-10-01,58.6322
다이나믹 듀오,2023-10-08,67.08098
다이나믹 듀오,2023-10-15,51.80419
다이나믹 듀오,2023-10-22,42.0139
다이나믹 듀오,2023-10-29,40.06461
다이나믹 듀오,2023-11-05,32.45907
다이나믹 듀오,2023-11-12,34.84641
다이나믹 듀오,2023-11-19,39.0133
다이나믹 듀오,2023-11-26,31.353
다이나믹 듀오,2023-12-03,22.68521
다이나믹 듀오,2023-12-10,20.10075
다이나믹 듀오,2023-12-17,20.4457
다이나믹 듀오,2023-12-24,74.71937
다이나믹 듀오,2023-12-31,27.64058
다이나믹 듀오,2024-01-07,17.68055
다이나믹 듀오,2024-01-14,16.77709
다이나믹 듀오,2024-01-21,20.51689
다이나믹 듀오,2024-01-28,14.43902
다이나믹 듀오,2024-02-04,14.28023
다이나믹 듀오,2024-02-11,15.85172
다이나믹 듀오,2024-02-18,17.49438
다이나믹 듀오,2024-02-25,16.79351
다이나믹 듀오,2024-03-03,13.49175
다이나믹 듀오,2024-03-10,15.64912
다이나믹 듀오,2024-03-17,18.95635
다이나믹 듀오,2024-03-24,50.00821
다이나믹 듀오,2024-03-31,31.35848
다이나믹 듀오,2024-04-07,28.85068
다이나믹 듀오,2024-04-14,32.49739
다이나믹 듀오,2024-04-21,40.40957
다이나믹 듀오,2024-04-28,38.83261
다이나믹 듀오,2024-05-05,32.41526
다이나믹 듀오,2024-05-12,45.53468
다이나믹 듀오,2024-05-19,40.21245
다이나믹 듀오,2024-05-26,51.96298
다이나믹 듀오,2024-06-02,24.62903
다이나믹 듀오,2024-06-09,23.41345
다이나믹 듀오,2024-06-16,39.39659
다이나믹 듀오,2024-06-23,31.2873
다이나믹 듀오,2024-06-30,24.30597
다이나믹 듀오,2024-07-07,26.75354
다이나믹 듀오,2024-07-14,25.52702
다이나믹 듀오,2024-07-21,25.29157
다이나믹 듀오,2024-07-28,22.8659
다이나믹 듀오,2024-08-04,20.8728
다이나믹 듀오,2024-08-11,30.59738
다이나믹 듀오,2024-08-18,25.47226
다이나믹 듀오,2024-08-25,32.50287
다이나믹 듀오,2024-09-01,29.04232
다이나믹 듀오,2024-09-08,24.82067
이영지,2023-09-17,19.90891
이영지,2023-09-24,26.02995
이영지,2023-10-01,30.26291
이영지,2023-10-08,25.58303
이영지,2023-10-15,16.5118
이영지,2023-10-22,14.78637
이영지,2023-10-29,14.52897
이영지,2023-11-05,14.22065
이영지,2023-11-12,15.98568
이영지,2023-11-19,19.12116
이영지,2023-11-26,26.06672
이영지,2023-12-03,24.25219
이영지,2023-12-10,28.03399
이영지,2023-12-17,19.21167
이영지,2023-12-24,41.56872
이영지,2023-12-31,48.04191
이영지,2024-01-07,26.72578
이영지,2024-01-14,18.78031
이영지,2024-01-21,17.73374
이영지,2024-01-28,16.41845
이영지,2024-02-04,13.38764
이영지,2024-02-11,21.48726
이영지,2024-02-18,18.71101
이영지,2024-02-25,18.967
이영지,2024-03-03,12.45986
이영지,2024-03-10,11.04558
이영지,2024-03-17,12.94921
이영지,2024-03-24,9.57755
이영지,2024-03-31,10.19842
이영지,2024-04-07,10.25358
이영지,2024-04-14,11.17286
이영지,2024-04-21,9.62422
이영지,2024-04-28,11.57735
이영지,2024-05-05,13.57432
이영지,2024-05-12,14.38895
이영지,2024-05-19,30.21341
이영지,2024-05-26,34.98946
이영지,2024-06-02,37.61438
이영지,2024-06-09,32.12694
이영지,2024-06-16,100.0
이영지,2024-06-23,92.29213
이영지,2024-06-30,85.16695
이영지,2024-07-07,51.8124
이영지,2024-07-14,44.7339
이영지,2024-07-21,35.52972
이영지,2024-07-28,24.63263
이영지,2024-08-04,23.19148
이영지,2024-08-11,24.26775
이영지,2024-08-18,25.24926
이영지,2024-08-25,28.56859
이영지,2024-09-01,25.90266
이영지,2024-09-08,36.38395
뉴진스,2023-09-17,12.58839
뉴진스,2023-09-24,10.55509
뉴진스,2023-10-01,10.07439
뉴진스,2023-10-08,9.50657
뉴진스,2023-10-15,8.21728
뉴진스,2023-10-22,8.09638
뉴진스,2023-10-29,9.73275
뉴진스,2023-11-05,11.5042
뉴진스,2023-11-12,13.32638
뉴진스,2023-11-19,13.87124
뉴진스,2023-11-26,12.95201
뉴진스,2023-12-03,11.13618
뉴진스,2023-12-10,11.1567
뉴진스,2023-12-17,9.23186
뉴진스,2023-12-24,13.38435
뉴진스,2023-12-31,11.82166
뉴진스,2024-01-07,8.77916
뉴진스,2024-01-14,8.1506
뉴진스,2024-01-21,6.62594
뉴진스,2024-01-28,6.45813
뉴진스,2024-02-04,6.51455
뉴진스,2024-02-11,5.79659
뉴진스,2024-02-18,6.66306
뉴진스,2024-02-25,7.12284
뉴진스,2024-03-03,5.54712
뉴진스,2024-03-10,4.83779
뉴진스,2024-03-17,5.27551
뉴진스,2024-03-24,6.94933
뉴진스,2024-03-31,6.75132
뉴진스,2024-04-07,6.50609
뉴진스,2024-04-14,5.8702
뉴진스,2024-04-21,100.0
뉴진스,2024-04-28,47.22216
뉴진스,2024-05-05,17.81326
뉴진스,2024-05-12,25.4602
뉴진스,2024-05-19,31.8221
뉴진스,2024-05-26,32.22871
뉴진스,2024-06-02,25.62963
뉴진스,2024-06-09,20.4743
뉴진스,2024-06-16,17.91992
뉴진스,2024-06-23,18.26204
뉴진스,2024-06-30,19.81952
뉴진스,2024-07-07,17.20399
뉴진스,2024-07-14,13.54124
뉴진스,2024-07-21,16.07177
뉴진스,2024-07-28,12.69399
뉴진스,2024-08-04,9.84804
뉴진스,2024-08-11,8.28413
뉴진스,2024-08-18,7.17373
뉴진스,2024-08-25,7.34031
뉴진스,2024-09-01,10.99663
뉴진스,2024-09-08,58.99334
정국,2023-09-17,38.5358
정국,2023-09-24,61.50958
정국,2023-10-01,64.77082
정국,2023-10-08,49.24285
정국,2023-10-15,45.93135
정국,2023-10-22,38.13291
정국,2023-10-29,72.10314
정국,2023-11-05,100.0
정국,2023-11-12,78.44728
정국,2023-11-19,75.32061
정국,2023-11-26,61.52093
정국,2023-12-03,59.89153
정국,2023-12-10,69.33234
정국,2023-12-17,30.08074
정국,2023-12-24,27.66338
정국,2023-12-31,25.54029
정국,2024-01-07,25.42923
정국,2024-01-14,31.01136
정국,2024-01-21,24.21812
정국,2024-01-28,21.74565
정국,2024-02-04,20.53535
정국,2024-02-11,19.75469
정국,2024-02-18,19.57878
정국,2024-02-25,19.63228
정국,2024-03-03,17.13711
정국,2024-03-10,18.40091
정국,2024-03-17,19.03484
정국,2024-03-24,16.45778
정국,2024-03-31,15.1802
정국,2024-04-07,15.60904
정국,2024-04-14,17.71591
정국,2024-04-21,16.20324
정국,2024-04-28,17.30572
정국,2024-05-05,14.91674
정국,2024-05-12,14.50007
정국,2024-05-19,13.41299
정국,2024-05-26,12.86823
정국,2024-06-02,19.28208
정국,2024-06-09,22.11611
정국,2024-06-16,14.14257
정국,2024-06-23,13.03036
정국,2024-06-30,12.09082
정국,2024-07-07,12.04461
정국,2024-07-14,12.68665
정국,2024-07-21,13.97801
정국,2024-07-28,12.06083
정국,2024-08-04,16.10191
정국,2024-08-11,16.69044
정국,2024-08-18,14.35577
정국,2024-08-25,17.30329
정국,2024-09-01,13.85884
정국,2024-09-08,69.79847
전소미,2023-09-17,70.31678
전소미,2023-09-24,61.76283
전소미,2023-10-01,46.79575
전소미,2023-10-08,45.52706
전소미,2023-10-15,34.66036
전소미,2023-10-22,42.15165
전소미,2023-10-29,38.45403
전소미,2023-11-05,34.73317
전소미,2023-11-12,31.14553
전소미,2023-11-19,22.81155
전소미,2023-11-26,48.33397
전소미,2023-12-03,27.97459
전소미,2023-12-10,25.462
전소미,2023-12-17,20.98055
전소미,2023-12-24,22.16094
전소미,2023-12-31,22.29416
전소미,2024-01-07,20.41979
전소미,2024-01-14,19.48106
