New_Artist,date,ratio
라우브,2023-09-17,23.39981
라우브,2023-09-24,21.6056
라우브,2023-10-01,18.79329
라우브,2023-10-08,19.73629
라우브,2023-10-15,20.67929
라우브,2023-10-22,49.74547
라우브,2023-10-29,21.46374
라우브,2023-11-05,35.12476
라우브,2023-11-12,22.42343
라우브,2023-11-19,18.18409
라우브,2023-11-26,14.90444
라우브,2023-12-03,12.87657
라우브,2023-12-10,11.70825
라우브,2023-12-17,12.87657
라우브,2023-12-24,14.12834
라우브,2023-12-31,13.15196
라우브,2024-01-07,14.18676
라우브,2024-01-14,13.3439
라우브,2024-01-21,12.71801
라우브,2024-01-28,20.8295
라우브,2024-02-04,23.89218
라우브,2024-02-11,19.37745
라우브,2024-02-18,18.2592
라우브,2024-02-25,19.21054
라우브,2024-03-03,17.05749
라우브,2024-03-10,16.91563
라우브,2024-03-17,18.08395
라우브,2024-03-24,16.29808
라우브,2024-03-31,17.12425
라우브,2024-04-07,19.0353
라우브,2024-04-14,31.88683
라우브,2024-04-21,25.70307
라우브,2024-04-28,21.45539
라우브,2024-05-05,20.37052
라우브,2024-05-12,19.35241
라우브,2024-05-19,22.20645
라우브,2024-05-26,100.0
라우브,2024-06-02,56.3298
라우브,2024-06-09,16.84886
라우브,2024-06-16,14.67078
라우브,2024-06-23,13.72778
라우브,2024-06-30,32.58783
라우브,2024-07-07,19.06033
라우브,2024-07-14,14.06158
라우브,2024-07-21,12.49269
라우브,2024-07-28,10.48986
라우브,2024-08-04,10.36468
라우브,2024-08-11,10.93215
라우브,2024-08-18,11.57473
라우브,2024-08-25,12.08378
라우브,2024-09-01,10.22281
라우브,2024-09-08,15.36343
서동현,2023-09-17,45.30068
서동현,2023-09-24,29.37908
서동현,2023-10-01,100.0
서동현,2023-10-08,28.67688
서동현,2023-10-15,19.72323
서동현,2023-10-22,21.61633
서동현,2023-10-29,17.90472
서동현,2023-11-05,20.77781
서동현,2023-11-12,17.57034
서동현,2023-11-19,19.55347
서동현,2023-11-26,21.69864
서동현,2023-12-03,20.68522
서동현,2023-12-10,22.7095
서동현,2023-12-17,19.34255
서동현,2023-12-24,19.34255
서동현,2023-12-31,14.24455
서동현,2024-01-07,13.25428
서동현,2024-01-14,13.19512
서동현,2024-01-21,16.79613
서동현,2024-01-28,13.08194
서동현,2024-02-04,11.50779
서동현,2024-02-11,10.9805
서동현,2024-02-18,17.64751
서동현,2024-02-25,14.78985
서동현,2024-03-03,13.26714
서동현,2024-03-10,17.9896
서동현,2024-03-17,11.9502
서동현,2024-03-24,10.92648
서동현,2024-03-31,10.89047
서동현,2024-04-07,10.62554
서동현,2024-04-14,10.40948
서동현,2024-04-21,9.9825
서동현,2024-04-28,11.24286
서동현,2024-05-05,13.05879
서동현,2024-05-12,17.1768
서동현,2024-05-19,16.6418
서동현,2024-05-26,21.31282
서동현,2024-06-02,17.03019
서동현,2024-06-09,15.6901
서동현,2024-06-16,12.42862
서동현,2024-06-23,14.6741
서동현,2024-06-30,12.31544
서동현,2024-07-07,12.73728
서동현,2024-07-14,11.12711
서동현,2024-07-21,11.14769
서동현,2024-07-28,11.08853
서동현,2024-08-04,10.77215
서동현,2024-08-11,11.51036
서동현,2024-08-18,10.85446
서동현,2024-08-25,10.84417
서동현,2024-09-01,10.1214
서동현,2024-09-08,12.1071
디케이,2023-09-17,68.18057
디케이,2023-09-24,37.2093
디케이,2023-10-01,50.09575
디케이,2023-10-08,43.22845
디케이,2023-10-15,93.92612
디케이,2023-10-22,44.43228
디케이,2023-10-29,69.9316
디케이,2023-11-05,37.01778
디케이,2023-11-12,40.35567
디케이,2023-11-19,100.0
디케이,2023-11-26,48.04377
디케이,2023-12-03,88.50889
디케이,2023-12-10,40.08207
디케이,2023-12-17,36.63474
디케이,2023-12-24,50.09575
디케이,2023-12-31,40.38303
디케이,2024-01-07,39.61696
디케이,2024-01-14,40.76607
디케이,2024-01-21,38.74145
디케이,2024-01-28,39.48016
디케이,2024-02-04,45.77291
디케이,2024-02-11,37.15458
디케이,2024-02-18,37.64705
디케이,2024-02-25,48.72777
디케이,2024-03-03,36.60738
디케이,2024-03-10,43.00957
디케이,2024-03-17,56.08755
디케이,2024-03-24,50.15047
디케이,2024-03-31,45.99179
디케이,2024-04-07,39.01504
디케이,2024-04-14,39.39808
디케이,2024-04-21,69.22024
디케이,2024-04-28,52.77701
디케이,2024-05-05,45.08891
디케이,2024-05-12,40.90287
디케이,2024-05-19,38.74145
디케이,2024-05-26,39.4528
디케이,2024-06-02,35.97811
디케이,2024-06-09,42.65389
디케이,2024-06-16,46.15595
디케이,2024-06-23,38.9056
디케이,2024-06-30,38.16689
디케이,2024-07-07,37.23666
디케이,2024-07-14,41.8331
디케이,2024-07-21,33.78932
디케이,2024-07-28,29.74008
디케이,2024-08-04,32.42134
디케이,2024-08-11,28.8372
디케이,2024-08-18,40.82079
디케이,2024-08-25,44.40492
디케이,2024-09-01,33.51573
디케이,2024-09-08,28.75512
찰리 푸스,2023-09-17,16.86944
찰리 푸스,2023-09-24,15.56366
찰리 푸스,2023-10-01,16.51501
찰리 푸스,2023-10-08,23.52581
찰리 푸스,2023-10-15,100.0
찰리 푸스,2023-10-22,40.19731
찰리 푸스,2023-10-29,19.14212
찰리 푸스,2023-11-05,14.01019
찰리 푸스,2023-11-12,12.52513
찰리 푸스,2023-11-19,13.9076
찰리 푸스,2023-11-26,10.77683
찰리 푸스,2023-12-03,9.41302
찰리 푸스,2023-12-10,9.01195
찰리 푸스,2023-12-17,7.11961
찰리 푸스,2023-12-24,7.44191
찰리 푸스,2023-12-31,7.23568
찰리 푸스,2024-01-07,7.62223
찰리 푸스,2024-01-14,7.22946
찰리 푸스,2024-01-21,7.12894
찰리 푸스,2024-01-28,7.09163
찰리 푸스,2024-02-04,7.8637
찰리 푸스,2024-02-11,7.51342
찰리 푸스,2024-02-18,7.1165
찰리 푸스,2024-02-25,6.44496
찰리 푸스,2024-03-03,6.4149
찰리 푸스,2024-03-10,7.02427
찰리 푸스,2024-03-17,8.3031
찰리 푸스,2024-03-24,8.785
찰리 푸스,2024-03-31,8.42228
찰리 푸스,2024-04-07,8.07614
찰리 푸스,2024-04-14,10.38302
찰리 푸스,2024-04-21,7.82535
찰리 푸스,2024-04-28,8.17563
찰리 푸스,2024-05-05,9.37674
찰리 푸스,2024-05-12,7.82017
찰리 푸스,2024-05-19,8.20361
찰리 푸스,2024-05-26,8.33212
찰리 푸스,2024-06-02,7.98287
찰리 푸스,2024-06-09,7.64814
찰리 푸스,2024-06-16,7.09474
찰리 푸스,2024-06-23,6.28329
찰리 푸스,2024-06-30,6.17447
찰리 푸스,2024-07-07,6.72684
찰리 푸스,2024-07-14,6.14753
찰리 푸스,2024-07-21,5.34126
찰리 푸스,2024-07-28,5.11741
찰리 푸스,2024-08-04,4.8718
찰리 푸스,2024-08-11,5.34955
찰리 푸스,2024-08-18,30.54594
찰리 푸스,2024-08-25,21.59408
찰리 푸스,2024-09-01,10.8929
찰리 푸스,2024-09-08,9.96849
엔시티 유,2023-09-17,40.50024
엔시티 유,2023-09-24,33.09283
엔시티 유,2023-10-01,33.91053
엔시티 유,2023-10-08,29.10052
엔시티 유,2023-10-15,30.30303
엔시티 유,2023-10-22,24.48292
엔시티 유,2023-10-29,22.41462
엔시티 유,2023-11-05,18.99951
엔시티 유,2023-11-12,15.19961
엔시티 유,2023-11-19,14.62241
엔시티 유,2023-11-26,15.68061
엔시티 유,2023-12-03,23.47282
엔시티 유,2023-12-10,19.86531
엔시티 유,2023-12-17,23.18422
엔시티 유,2023-12-24,100.0
엔시티 유,2023-12-31,46.75324
엔시티 유,2024-01-07,36.36363
엔시티 유,2024-01-14,37.03703
엔시티 유,2024-01-21,35.93073
엔시티 유,2024-01-28,25.97402
엔시티 유,2024-02-04,28.09042
엔시티 유,2024-02-11,30.01443
엔시티 유,2024-02-18,24.67532
엔시티 유,2024-02-25,19.14381
엔시티 유,2024-03-03,12.89081
엔시티 유,2024-03-10,13.03511
엔시티 유,2024-03-17,13.41991
엔시티 유,2024-03-24,10.48581
엔시티 유,2024-03-31,11.35161
엔시티 유,2024-04-07,14.81481
엔시티 유,2024-04-14,13.13131
엔시티 유,2024-04-21,13.66041
엔시티 유,2024-04-28,12.26551
엔시티 유,2024-05-05,13.08321
엔시티 유,2024-05-12,11.78451
엔시티 유,2024-05-19,10.43771
엔시티 유,2024-05-26,7.7441
엔시티 유,2024-06-02,11.73641
엔시티 유,2024-06-09,9.4757
엔시티 유,2024-06-16,9.9086
엔시티 유,2024-06-23,9.0428
엔시티 유,2024-06-30,10.48581
엔시티 유,2024-07-07,11.78451
엔시티 유,2024-07-14,11.64021
엔시티 유,2024-07-21,19.38431
엔시티 유,2024-07-28,17.84511
엔시티 유,2024-08-04,15.92111
엔시티 유,2024-08-11,16.64261
엔시티 유,2024-08-18,13.37181
엔시티 유,2024-08-25,21.98172
엔시티 유,2024-09-01,12.69841
엔시티 유,2024-09-08,13.41991
더 키드 라로이,2023-09-17,21.00638
더 키드 라로이,2023-09-24,24.20127
더 키드 라로이,2023-10-01,85.02396
더 키드 라로이,2023-10-08,100.0
더 키드 라로이,2023-10-15,94.84824
더 키드 라로이,2023-10-22,68.05111
더 키드 라로이,2023-10-29,35.50319
더 키드 라로이,2023-11-05,35.58306
더 키드 라로이,2023-11-12,19.44888
더 키드 라로이,2023-11-19,11.74121
더 키드 라로이,2023-11-26,10.06389
더 키드 라로이,2023-12-03,8.02715
더 키드 라로이,2023-12-10,9.34504
더 키드 라로이,2023-12-17,6.54952
더 키드 라로이,2023-12-24,7.38817
더 키드 라로이,2023-12-31,8.14696
더 키드 라로이,2024-01-07,8.46645
더 키드 라로이,2024-01-14,9.06549
더 키드 라로이,2024-01-21,10.02396
더 키드 라로이,2024-01-28,8.50638
더 키드 라로이,2024-02-04,9.90415
더 키드 라로이,2024-02-11,8.62619
더 키드 라로이,2024-02-18,8.90575
더 키드 라로이,2024-02-25,8.78594
더 키드 라로이,2024-03-03,7.54792
더 키드 라로이,2024-03-10,6.34984
더 키드 라로이,2024-03-17,7.22843
더 키드 라로이,2024-03-24,6.78913
더 키드 라로이,2024-03-31,6.70926
더 키드 라로이,2024-04-07,7.02875
더 키드 라로이,2024-04-14,9.66453
더 키드 라로이,2024-04-21,7.10862
더 키드 라로이,2024-04-28,5.4313
더 키드 라로이,2024-05-05,6.11022
더 키드 라로이,2024-05-12,8.1869
더 키드 라로이,2024-05-19,6.42971
더 키드 라로이,2024-05-26,6.38977
더 키드 라로이,2024-06-02,7.54792
더 키드 라로이,2024-06-09,7.46805
더 키드 라로이,2024-06-16,7.06869
더 키드 라로이,2024-06-23,8.14696
더 키드 라로이,2024-06-30,10.54313
더 키드 라로이,2024-07-07,8.90575
더 키드 라로이,2024-07-14,8.42651
더 키드 라로이,2024-07-21,6.34984
더 키드 라로이,2024-07-28,7.66773
더 키드 라로이,2024-08-04,9.58466
더 키드 라로이,2024-08-11,10.1837
더 키드 라로이,2024-08-18,9.90415
더 키드 라로이,2024-08-25,46.64536
더 키드 라로이,2024-09-01,22.16453
더 키드 라로이,2024-09-08,17.13258
저스틴 비버,2023-09-17,49.30672
저스틴 비버,2023-09-24,49.83227
저스틴 비버,2023-10-01,46.79637
저스틴 비버,2023-10-08,51.58783
저스틴 비버,2023-10-15,57.05579
저스틴 비버,2023-10-22,53.59499
저스틴 비버,2023-10-29,55.45119
저스틴 비버,2023-11-05,52.80107
저스틴 비버,2023-11-12,49.17253
저스틴 비버,2023-11-19,66.47657
저스틴 비버,2023-11-26,51.40333
저스틴 비버,2023-12-03,42.61992
저스틴 비버,2023-12-10,41.54646
저스틴 비버,2023-12-17,41.11595
저스틴 비버,2023-12-24,38.9187
저스틴 비버,2023-12-31,40.07603
저스틴 비버,2024-01-07,43.24052
저스틴 비버,2024-01-14,48.50721
저스틴 비버,2024-01-21,56.80979
저스틴 비버,2024-01-28,52.48797
저스틴 비버,2024-02-04,50.94487
저스틴 비버,2024-02-11,57.92798
저스틴 비버,2024-02-18,62.63558
저스틴 비버,2024-02-25,63.5469
저스틴 비버,2024-03-03,43.83875
저스틴 비버,2024-03-10,40.12635
저스틴 비버,2024-03-17,39.38275
저스틴 비버,2024-03-24,40.07603
저스틴 비버,2024-03-31,44.62149
저스틴 비버,2024-04-07,42.98892
저스틴 비버,2024-04-14,43.75489
저스틴 비버,2024-04-21,51.23001
저스틴 비버,2024-04-28,52.68366
저스틴 비버,2024-05-05,100.0
저스틴 비버,2024-05-12,70.78161
저스틴 비버,2024-05-19,52.59979
저스틴 비버,2024-05-26,47.92575
저스틴 비버,2024-06-02,48.22766
저스틴 비버,2024-06-09,43.86112
저스틴 비버,2024-06-16,45.61109
저스틴 비버,2024-06-23,45.67259
저스틴 비버,2024-06-30,39.89153
저스틴 비버,2024-07-07,81.37649
저스틴 비버,2024-07-14,41.74214
저스틴 비버,2024-07-21,47.45051
저스틴 비버,2024-07-28,48.34507
저스틴 비버,2024-08-04,44.1183
저스틴 비버,2024-08-11,50.71564
저스틴 비버,2024-08-18,96.7181
저스틴 비버,2024-08-25,73.43173
저스틴 비버,2024-09-01,70.09951
저스틴 비버,2024-09-08,68.63468
전건호,2023-09-17,18.61883
전건호,2023-09-24,13.07623
전건호,2023-10-01,12.32286
전건호,2023-10-08,17.13004
전건호,2023-10-15,18.67264
전건호,2023-10-22,13.07623
전건호,2023-10-29,15.04932
전건호,2023-11-05,15.15695
전건호,2023-11-12,20.01793
전건호,2023-11-19,14.83408
전건호,2023-11-26,12.03587
전건호,2023-12-03,12.41255
전건호,2023-12-10,11.46188
전건호,2023-12-17,11.13901
전건호,2023-12-24,11.10313
전건호,2023-12-31,9.75784
전건호,2024-01-07,10.22421
전건호,2024-01-14,9.41704
전건호,2024-01-21,10.52914
전건호,2024-01-28,9.93721
전건호,2024-02-04,9.8834
전건호,2024-02-11,14.09865
전건호,2024-02-18,18.06278
전건호,2024-02-25,14.7982
전건호,2024-03-03,10.11659
전건호,2024-03-10,10.74439
전건호,2024-03-17,13.73991
전건호,2024-03-24,13.47085
전건호,2024-03-31,25.34529
전건호,2024-04-07,27.74887
전건호,2024-04-14,20.0
전건호,2024-04-21,17.66816
전건호,2024-04-28,19.53363
전건호,2024-05-05,21.2556
전건호,2024-05-12,20.91479
전건호,2024-05-19,23.89237
전건호,2024-05-26,21.02242
전건호,2024-06-02,16.98654
전건호,2024-06-09,20.12556
전건호,2024-06-16,20.68161
전건호,2024-06-23,16.17937
전건호,2024-06-30,18.22421
전건호,2024-07-07,15.28251
전건호,2024-07-14,14.51121
전건호,2024-07-21,13.99103
전건호,2024-07-28,12.53811
전건호,2024-08-04,15.37219
전건호,2024-08-11,19.69506
전건호,2024-08-18,33.59641
전건호,2024-08-25,89.61434
전건호,2024-09-01,100.0
전건호,2024-09-08,62.88789
피프티 피프티,2023-09-17,25.0621
피프티 피프티,2023-09-24,20.2219
피프티 피프티,2023-10-01,13.1308
피프티 피프티,2023-10-08,32.74262
피프티 피프티,2023-10-15,80.40583
피프티 피프티,2023-10-22,100.0
피프티 피프티,2023-10-29,35.06326
피프티 피프티,2023-11-05,22.60842
피프티 피프티,2023-11-12,36.02984
피프티 피프티,2023-11-19,23.98875
피프티 피프티,2023-11-26,11.01079
피프티 피프티,2023-12-03,12.85482
피프티 피프티,2023-12-10,9.42466
피프티 피프티,2023-12-17,21.45886
피프티 피프티,2023-12-24,12.43934
피프티 피프티,2023-12-31,17.69717
피프티 피프티,2024-01-07,10.89712
피프티 피프티,2024-01-14,6.27004
피프티 피프티,2024-01-21,5.09723
피프티 피프티,2024-01-28,4.18491
피프티 피프티,2024-02-04,6.17834
피프티 피프티,2024-02-11,6.5654
피프티 피프티,2024-02-18,8.36207
피프티 피프티,2024-02-25,5.53854
피프티 피프티,2024-03-03,6.52406
피프티 피프티,2024-03-10,9.06515
피프티 피프티,2024-03-17,4.78595
피프티 피프티,2024-03-24,5.10326
피프티 피프티,2024-03-31,4.07167
피프티 피프티,2024-04-07,4.33086
피프티 피프티,2024-04-14,7.95692
피프티 피프티,2024-04-21,20.84834
피프티 피프티,2024-04-28,5.4223
피프티 피프티,2024-05-05,8.01634
피프티 피프티,2024-05-12,6.04271
피프티 피프티,2024-05-19,4.41912
피프티 피프티,2024-05-26,3.91108
피프티 피프티,2024-06-02,4.33172
피프티 피프티,2024-06-09,10.90229
피프티 피프티,2024-06-16,6.16973
피프티 피프티,2024-06-23,3.13222
피프티 피프티,2024-06-30,2.98713
피프티 피프티,2024-07-07,7.07947
피프티 피프티,2024-07-14,3.98513
피프티 피프티,2024-07-21,18.17896
피프티 피프티,2024-07-28,8.07145
피프티 피프티,2024-08-04,33.81683
피프티 피프티,2024-08-11,44.44487
피프티 피프티,2024-08-18,20.44966
피프티 피프티,2024-08-25,45.42049
피프티 피프티,2024-09-01,28.37602
피프티 피프티,2024-09-08,23.78166
김연지,2023-09-17,28.35008
김연지,2023-09-24,23.80129
김연지,2023-10-01,38.26423
김연지,2023-10-08,29.7948
김연지,2023-10-15,17.92294
김연지,2023-10-22,22.30422
김연지,2023-10-29,22.36704
김연지,2023-11-05,16.22696
김연지,2023-11-12,14.61997
김연지,2023-11-19,14.87123
김연지,2023-11-26,15.54124
김연지,2023-12-03,16.0961
김연지,2023-12-10,15.21147
김연지,2023-12-17,13.56783
김연지,2023-12-24,14.20644
김연지,2023-12-31,13.55737
김연지,2024-01-07,13.5626
김연지,2024-01-14,13.46314
김연지,2024-01-21,16.92315
김연지,2024-01-28,100.0
김연지,2024-02-04,25.0314
김연지,2024-02-11,18.1899
김연지,2024-02-18,18.11139
김연지,2024-02-25,15.47319
김연지,2024-03-03,14.80841
김연지,2024-03-10,12.73555
김연지,2024-03-17,12.2435
김연지,2024-03-24,10.84589
김연지,2024-03-31,11.11809
김연지,2024-04-07,75.08375
김연지,2024-04-14,14.85552
김연지,2024-04-21,16.17985
김연지,2024-04-28,11.52638
김연지,2024-05-05,11.65724
김연지,2024-05-12,11.00293
김연지,2024-05-19,12.86641
김연지,2024-05-26,52.5492
김연지,2024-06-02,14.07558
김연지,2024-06-09,13.27994
김연지,2024-06-16,10.43237
김연지,2024-06-23,11.0448
김연지,2024-06-30,11.33793
김연지,2024-07-07,10.10783
김연지,2024-07-14,12.22257
김연지,2024-07-21,10.92964
김연지,2024-07-28,10.62081
김연지,2024-08-04,10.79878
김연지,2024-08-11,11.56302
김연지,2024-08-18,32.38588
김연지,2024-08-25,14.018
김연지,2024-09-01,14.90787
김연지,2024-09-08,9.75711
엔시티 드림,2023-09-17,34.70437
엔시티 드림,2023-09-24,31.20076
엔시티 드림,2023-10-01,38.01724
엔시티 드림,2023-10-08,33.08317
엔시티 드림,2023-10-15,31.39149
엔시티 드림,2023-10-22,31.10125
엔시티 드림,2023-10-29,33.79218
엔시티 드림,2023-11-05,28.39787
엔시티 드림,2023-11-12,27.07935
엔시티 드림,2023-11-19,26.59009
엔시티 드림,2023-11-26,43.70179
엔시티 드림,2023-12-03,37.10921
엔시티 드림,2023-12-10,40.51745
엔시티 드림,2023-12-17,36.37946
엔시티 드림,2023-12-24,43.40741
엔시티 드림,2023-12-31,60.73886
엔시티 드림,2024-01-07,51.40144
엔시티 드림,2024-01-14,43.16278
엔시티 드림,2024-01-21,40.62111
엔시티 드림,2024-01-28,36.78994
엔시티 드림,2024-02-04,39.10357
엔시티 드림,2024-02-11,40.53404
엔시티 드림,2024-02-18,52.73654
엔시티 드림,2024-02-25,37.70213
엔시티 드림,2024-03-03,42.84766
엔시티 드림,2024-03-10,37.44091
엔시티 드림,2024-03-17,45.35616
엔시티 드림,2024-03-24,100.0
엔시티 드림,2024-03-31,59.17157
엔시티 드림,2024-04-07,44.29886
엔시티 드림,2024-04-14,36.1141
엔시티 드림,2024-04-21,32.13782
엔시티 드림,2024-04-28,55.87942
엔시티 드림,2024-05-05,39.67576
엔시티 드림,2024-05-12,29.06957
엔시티 드림,2024-05-19,26.84716
엔시티 드림,2024-05-26,26.25839
엔시티 드림,2024-06-02,31.42466
엔시티 드림,2024-06-09,26.82229
