Rank,Artist,Weekly Views
1,DAY6(데이식스),"17,010,414"
2,NewJeans,"10,527,030"
3,aespa,"8,844,064"
4,아이유(IU),"7,219,105"
5,윤하,"6,178,641"
6,IVE,"5,801,470"
7,BIGBANG,"5,207,557"
8,QWER,"5,098,094"
9,(여자)아이들,"5,073,551"
10,임영웅,"5,001,031"
11,르세라핌,"4,910,126"
12,세븐틴(SEVENTEEN),"4,270,571"
13,태연,"4,050,692"
14,이무진,"3,734,845"
15,볼빨간사춘기,"3,655,571"
16,fromis_9(프로미스나인),"3,546,858"
17,BLACKPINK,"3,454,688"
18,엔믹스,"3,425,125"
19,AKMU (악뮤),"3,350,635"
20,성시경,"3,232,358"
21,루시,"3,147,449"
22,BTS(방탄소년단),"3,128,414"
23,릴러말즈(Leellamarz),"3,125,106"
24,KISS OF LIFE,"3,102,234"
25,Kenshi Yonezu(켄시 요네즈/米津 玄師),"3,091,609"
26,싸이(PSY),"3,086,056"
27,BIG Naughty (서동현),"3,003,417"
28,Charlie Puth,"2,959,063"
29,허각,"2,917,816"
30,최유리,"2,854,189"
31,MEOVV,"2,842,708"
32,김호중,"2,774,596"
33,Red Velvet,"2,727,639"
34,엔플라잉,"2,693,273"
35,RIIZE,"2,646,389"
36,다비치,"2,622,204"
37,잔나비,"2,519,015"
38,Justin Bieber(저스틴 비버),"2,510,110"
39,TWICE(트와이스),"2,385,824"
40,이영지,"2,361,574"
41,요아소비,"2,359,506"
42,백예린,"2,358,837"
43,Kanye West(카니예 웨스트),"2,357,383"
44,로이킴,"2,333,623"
45,스트레이 키즈,"2,324,336"
46,카더가든,"2,298,139"
47,크러쉬,"2,290,515"
48,M.C the MAX,"2,286,143"
49,BOYNEXTDOOR,"2,244,157"
50,MC 몽,"2,227,248"
51,오마이걸(OH MY GIRL),"2,210,330"
52,TOIL,"2,164,470"
53,멜로망스(MeloMance),"2,133,791"
54,TWS (투어스),"2,096,405"
55,폴킴(Paul Kim),"2,089,736"
56,에픽하이(EPIK HIGH),"2,080,701"
57,Taylor Swift,"2,058,534"
58,너드커넥션,"2,053,010"
59,이창섭,"2,004,670"
60,G-DRAGON,"1,997,690"
61,박재범,"1,994,943"
62,버즈,"1,991,331"
63,헤이즈(Heize),"1,988,224"
64,창모(CHANGMO),"1,955,245"
65,정국,"1,942,061"
66,ILLIT,"1,941,171"
67,지코(ZICO),"1,923,940"
68,다이나믹 듀오,"1,886,804"
69,경서예지,"1,874,735"
70,임한별,"1,861,651"
71,The Weeknd (위켄드),"1,856,535"
72,청하,"1,843,283"
73,Ariana Grande(아리아나 그란데),"1,839,676"
74,Yuuri,"1,839,186"
75,Maroon 5(마룬 파이브),"1,837,680"
76,브루노 마스,"1,793,783"
77,Loco,"1,782,983"
78,ASH ISLAND,"1,778,303"
79,영탁,"1,773,464"
80,비투비,"1,757,037"
81,#안녕,"1,735,428"
82,Ed Sheeran(에드 시런),"1,726,116"
83,2NE1,"1,722,663"
84,전건호,"1,706,279"
85,BABYMONSTER,"1,705,570"
86,이클립스,"1,701,441"
87,10CM,"1,691,869"
88,Lauv(라우브),"1,688,492"
89,지아,"1,687,923"
90,펀치,"1,665,954"
91,에일리(AILEE),"1,651,934"
92,SG워너비,"1,624,732"
93,Yorushika(ヨルシカ),"1,618,053"
94,김나영,"1,612,432"
95,키드 와인,"1,596,352"
96,EXO,"1,586,821"
97,경서,"1,577,251"
98,OFFICIAL HIGE DANDISM,"1,571,600"
99,순순희,"1,568,194"
100,김승민,"1,548,839"
