date,Rank,Title,New_Artist,Production,Runtime,WeeklyViews,ky_rank,n_score,g_score,major_cate_Classical,major_cate_J-pop,major_cate_Jazz,major_cate_K-pop,major_cate_OST,major_cate_Other,major_cate_Pop,sub_cate_Animation/Game,sub_cate_Ballad,sub_cate_Blues/Folk,sub_cate_Carol,sub_cate_Crossover,sub_cate_Dance,sub_cate_Drama,sub_cate_Electronica,sub_cate_General,sub_cate_Indie,sub_cate_Korean Movie,sub_cate_Pop,sub_cate_R&B/Soul,sub_cate_Rap/Hip-hop,sub_cate_Rock,sub_cate_Traditional,sub_cate_Trot,sub_cate_World Music,season_autumn,season_spring,season_summer,season_winter
2024-01-21,111,@은영이에게,#안녕,니즈뮤직,292,1494289.0,,44.39183,65,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-28,120,@은영이에게,#안녕,니즈뮤직,292,1959168.0,,31.71549,62,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-04,147,@은영이에게,#안녕,니즈뮤직,292,1610044.0,,25.52037,61,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-11,154,@은영이에게,#안녕,니즈뮤직,292,1400603.0,,24.18861,66,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-18,176,@은영이에게,#안녕,니즈뮤직,292,1342797.0,,25.88537,63,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2023-11-19,190,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,94.99852,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-11-26,168,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,58.73532,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023-12-03,171,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,34.379,70,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-10,164,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,29.92009,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-17,179,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,21.57443,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-24,163,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1298461.0,,60.40248,78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2023-12-31,149,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1485567.0,,30.14698,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-07,142,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1375170.0,,27.09874,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-14,139,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1275410.0,,59.32721,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-21,135,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1494289.0,,44.39183,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-01-28,118,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1959168.0,,31.71549,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-04,123,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1610044.0,,25.52037,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-11,137,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1400603.0,,24.18861,66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-18,145,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1342797.0,,25.88537,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-02-25,150,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1308108.0,,43.57304,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2024-03-03,151,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,1310834.0,,32.43563,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-03-10,161,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,22.8174,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-03-17,176,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,24.29712,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-03-24,185,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,26.42793,59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2024-04-07,199,너의 번호를 누르고 (Prod. 영화처럼),#안녕,니즈먼트,250,,,23.83348,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
