,Rank
0,1
1,2
2,4
3,5
4,6
5,7
6,8
7,9
8,10
9,11
10,12
11,13
12,14
13,15
14,16
15,17
16,18
17,19
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,30
29,31
30,32
31,33
32,33
33,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
42,43
43,44
44,45
45,46
46,47
47,48
48,49
49,50
50,50
51,51
52,52
53,53
54,54
55,56
56,58
57,59
58,60
59,61
60,62
61,63
62,63
63,64
64,65
65,66
66,67
67,68
68,69
69,70
70,72
71,73
72,74
73,75
74,76
75,77
76,78
77,79
78,80
79,81
80,82
81,83
82,84
83,84
84,85
85,86
86,87
87,88
88,89
89,90
90,91
91,92
92,93
93,94
94,95
95,98
96,100
97,101
98,102
99,103
100,104
101,105
102,106
103,107
104,108
105,109
106,110
107,111
108,111
109,112
110,113
111,114
112,115
113,116
114,117
115,119
116,120
117,121
118,122
119,123
120,127
121,128
122,129
123,130
124,131
125,132
126,133
127,134
128,135
129,136
130,137
131,138
132,139
133,140
134,141
135,142
136,143
137,144
138,145
139,146
140,147
141,148
142,149
143,150
144,151
145,153
146,154
147,155
148,156
149,157
150,158
151,160
152,161
153,161
154,162
155,162
156,163
157,164
158,165
159,165
160,166
161,167
162,168
163,169
164,170
165,171
166,173
167,174
168,175
169,176
170,177
171,178
172,179
173,180
174,181
175,183
176,184
177,185
178,186
179,187
180,188
181,189
182,190
183,191
184,192
185,193
186,194
187,195
188,196
189,197
190,198
191,199
192,200
193,1
194,2
195,3
196,5
197,6
198,7
199,8
200,9
201,10
202,11
203,12
204,13
205,14
206,15
207,16
208,17
209,18
210,19
211,20
212,21
213,22
214,23
215,24
216,25
217,26
218,27
219,28
220,29
221,30
222,31
223,32
224,33
225,34
226,35
227,35
228,36
229,37
230,38
231,39
232,40
233,41
234,42
235,43
236,44
237,45
238,46
239,47
240,48
241,49
242,50
243,50
244,51
245,52
246,53
247,54
248,55
249,55
250,56
251,57
252,60
253,61
254,62
255,63
256,64
257,65
258,66
259,67
260,68
261,69
262,70
263,71
264,72
265,74
266,75
267,76
268,77
269,78
270,79
271,80
272,81
273,82
274,83
275,84
276,85
277,86
278,87
279,88
280,90
281,90
282,91
283,92
284,93
285,94
286,96
287,97
288,98
289,99
290,100
291,101
292,102
293,103
294,104
295,106
296,107
297,108
298,111
299,112
300,113
301,115
302,116
303,117
304,118
305,118
306,119
307,120
308,121
309,122
310,123
311,124
312,125
313,126
314,127
315,128
316,129
317,130
318,131
319,132
320,134
321,136
322,137
323,140
324,141
325,142
326,143
327,144
328,145
329,146
330,147
331,148
332,149
333,150
334,151
335,152
336,154
337,155
338,156
339,156
340,157
341,158
342,159
343,160
344,161
345,162
346,163
347,164
348,165
349,166
350,167
351,168
352,169
353,171
354,171
355,172
356,173
357,174
358,175
359,176
360,177
361,178
362,179
363,180
364,181
365,181
366,183
367,184
368,185
369,186
370,187
371,189
372,190
373,191
374,192
375,193
376,194
377,195
378,196
379,197
380,198
381,199
382,200
383,1
384,2
385,3
386,4
387,6
388,7
389,8
390,9
391,10
392,11
393,12
394,13
395,14
396,15
397,16
398,17
399,18
400,19
401,20
402,21
403,22
404,23
405,24
406,25
407,26
408,27
409,28
410,29
411,30
412,31
413,32
414,33
415,34
416,35
417,36
418,37
419,38
420,39
421,39
422,40
423,41
424,42
425,43
426,44
427,45
428,46
429,47
430,48
431,49
432,50
433,51
434,53
435,54
436,54
437,55
438,57
439,58
440,59
441,60
442,60
443,61
444,62
445,63
446,64
447,65
448,66
449,67
450,68
451,69
452,70
453,71
454,72
455,73
456,74
457,75
458,78
459,79
460,80
461,81
462,82
463,83
464,84
465,86
466,87
467,88
468,89
469,91
470,92
471,93
472,94
473,95
474,97
475,99
476,100
477,102
478,103
479,104
480,105
481,106
482,107
483,109
484,109
485,110
486,111
487,112
488,113
489,114
490,115
491,116
492,117
493,118
494,119
495,120
496,121
497,122
498,122
499,123
500,124
501,125
502,126
503,127
504,128
505,129
506,130
507,131
508,132
509,133
510,134
511,135
512,136
513,137
514,138
515,139
516,140
517,141
518,142
519,143
520,145
521,146
522,147
523,148
524,149
525,149
526,150
527,151
528,152
529,153
530,154
531,155
532,156
533,157
534,159
535,160
536,161
537,161
538,162
539,164
540,165
541,166
542,167
543,168
544,169
545,170
546,171
547,172
548,173
549,174
550,174
551,175
552,176
553,177
554,178
555,179
556,181
557,183
558,184
559,185
560,188
561,189
562,190
563,191
564,193
565,194
566,195
567,196
568,197
569,198
570,199
571,200
572,1
573,2
574,3
575,4
576,5
577,7
578,8
579,9
580,10
581,11
582,12
583,13
584,14
585,15
586,16
587,17
588,18
589,19
590,20
591,21
592,22
593,23
594,24
595,25
596,26
597,28
598,29
599,30
600,31
601,32
602,33
603,34
604,35
605,36
606,37
607,38
608,39
609,40
610,41
611,41
612,42
613,43
614,44
615,45
616,46
617,47
618,48
619,49
620,50
621,51
622,52
623,54
624,55
625,56
626,57
627,58
628,60
629,61
630,62
631,62
632,63
633,64
634,65
635,66
636,67
637,68
638,68
639,69
640,70
641,71
642,72
643,73
644,74
645,75
646,77
647,78
648,79
649,81
650,82
651,83
652,84
653,85
654,86
655,87
656,88
657,89
658,91
659,93
660,96
661,97
662,99
663,100
664,102
665,103
666,104
667,105
668,106
669,107
670,108
671,109
672,109
673,110
674,111
675,112
676,113
677,114
678,114
679,115
680,116
681,117
682,118
683,120
684,121
685,122
686,123
687,124
688,125
689,126
690,127
691,128
692,129
693,130
694,131
695,132
696,133
697,134
698,135
699,136
700,137
701,137
702,138
703,139
704,140
705,141
706,142
707,143
708,144
709,145
710,147
711,148
712,149
713,150
714,150
715,151
716,152
717,153
718,154
719,155
720,156
721,158
722,159
723,160
724,161
725,162
726,163
727,164
728,165
729,165
730,166
731,167
732,168
733,169
734,171
735,172
736,173
737,174
738,175
739,176
740,177
741,178
742,179
743,180
744,181
745,182
746,183
747,184
748,185
749,187
750,188
751,189
752,190
753,192
754,193
755,194
756,195
757,196
758,197
759,198
760,199
761,200
762,1
763,2
764,3
765,4
766,5
767,6
768,8
769,9
770,10
771,11
772,12
773,14
774,15
775,16
776,17
777,18
778,19
779,20
780,21
781,22
782,23
783,24
784,25
785,26
786,27
787,28
788,29
789,30
790,31
791,32
792,33
793,34
794,35
795,36
796,37
797,38
798,39
799,40
800,41
801,42
802,43
803,44
804,45
805,45
806,46
807,47
808,48
809,49
810,50
811,52
812,53
813,54
814,56
815,57
816,58
817,59
818,60
819,61
820,62
821,63
822,64
823,65
824,66
825,66
826,67
827,68
828,69
829,70
830,71
831,72
832,73
833,74
834,75
835,76
836,76
837,77
838,78
839,79
840,80
841,81
842,82
843,83
844,84
845,85
846,87
847,88
848,89
849,90
850,93
851,95
852,96
853,97
854,98
855,99
856,100
857,101
858,103
859,104
860,105
861,106
862,107
863,108
864,109
865,109
866,110
867,111
868,112
869,113
870,114
871,114
872,115
873,116
874,117
875,118
876,119
877,120
878,122
879,123
880,124
881,125
882,126
883,127
884,130
885,130
886,131
887,132
888,133
889,134
890,135
891,137
892,138
893,139
894,140
895,141
896,142
897,143
898,145
899,146
900,147
901,148
902,149
903,150
904,151
905,152
906,152
907,153
908,154
909,155
910,156
911,157
912,158
913,159
914,160
915,160
916,161
917,162
918,163
919,165
920,166
921,168
922,169
923,170
924,171
925,172
926,173
927,174
928,175
929,176
930,177
931,178
932,179
933,180
934,181
935,182
936,183
937,184
938,184
939,186
940,187
941,187
942,188
943,189
944,190
945,191
946,192
947,193
948,194
949,195
950,196
951,197
952,198
953,199
954,200
955,1
956,2
957,3
958,4
959,5
960,6
961,8
962,9
963,10
