,date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on,Genre_split,J-POP,Soul,Trot,Pop,OriginalSoundtrack,Hip-Hop,Rap,Drama,Electronica,Rock,KoreanMovies,R&B,Ballad,Classical,Indie,All,Crossover,Jazz,Blues,K-Pop,Folk,Dance,Traditional,season_autumn,season_spring,season_summer,season_winter
0,2023-09-24,1,악뮤,Love Lee,YG Entertainment,-5.481163536960521,가요/댄스,-1.0118843263324389,0.005412672907037638,0.01,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
1,2023-09-24,2,악뮤,후라이의 꿈,YG Entertainment,-5.463915659949188,가요/블루스/포크,-1.0118843263324389,0.005412672907037638,0.01,0,"['K-Pop', 'Blues', 'Folk']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
2,2023-09-24,4,뉴진스,Super Shy,ADOR,-5.498411413971855,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
3,2023-09-24,5,정국,Seven (feat. Latto) - Clean Ver.,BIGHIT MUSIC,-5.4784038766387075,가요/댄스,-1.0118848606900177,0.0021049507468954174,0.0045000000000000005,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
4,2023-09-24,6,뉴진스,ETA,ADOR,-5.5011710742936675,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
5,2023-09-24,7,전소미,Fast Forward,The Black Label,-5.494271923489134,가요/댄스,-1.011884952704739,0.0021304815632468554,0.0013000000000000002,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
6,2023-09-24,8,박재정,헤어지자 말해요,로맨틱팩토리,-5.437008971811508,가요/발라드,-1.011885003439893,-0.0009413953333012514,0.0016,1,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,2023-09-24,9,화사,I Love My Body,피네이션,-5.501860989374121,가요/댄스,-1.011885024314604,0.001984321294095256,0.0062,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
8,2023-09-24,10,아이브,I AM,스타쉽엔터테인먼트,-5.4784038766387075,가요/댄스,-1.0118844679729881,0.0024598457282759625,0.0048,1,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
9,2023-09-24,11,우디,사막에서 꽃을 피우듯,메이저나인,-5.426660245604707,가요/발라드,-1.0118850281506722,-0.001226376707022477,0.0048,0,"['K-Pop', 'Ballad']",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
10,2023-09-24,12,스테이씨,Bubble,하이업엔터테인먼트,-5.4818534520409745,가요/댄스,-1.0118849233353016,0.0025458742460785283,0.0017000000000000001,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
11,2023-09-24,13,여자 아이들,퀸카 (Queencard),큐브엔터테인먼트,-5.494271923489134,가요/댄스,-1.0118848716093878,-0.002300189233049439,0.0003,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
12,2023-09-24,14,아이브,Either Way,스타쉽엔터테인먼트,-5.490132433006415,가요/R&B/소울,-1.0118844679729881,0.0024598457282759625,0.0048,0,"['K-Pop', 'R&B', 'Soul']",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
13,2023-09-24,15,르세라핌,"이브, 프시케 그리고 푸른 수염의 아내",쏘스뮤직,-5.477024046477801,가요/댄스,-1.0118848252397499,-0.0028025096829703716,0.0018,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
14,2023-09-24,16,뉴진스,Hype boy,ADOR,-5.483233282201882,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
15,2023-09-24,17,라우브,Steal The Show (From “엘리멘탈”),Walt Disney Records,-5.472194640914627,OST/전체,-1.0118849068136364,-0.0019178772296948084,0.0004,0,"['OriginalSoundtrack', 'All']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,2023-09-24,18,에스파,Spicy,SM Entertainment,-5.469434980592815,가요/댄스,-1.0118848040648691,-0.0015327384382237143,0.0011,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
17,2023-09-24,19,뉴진스,Ditto,ADOR,-5.477024046477801,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
18,2023-09-24,20,아이브,Kitsch,스타쉽엔터테인먼트,-5.470814810753721,가요/댄스,-1.0118844679729881,0.0024598457282759625,0.0048,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
19,2023-09-24,21,뉴진스,New Jeans,ADOR,-5.530147507672708,가요/댄스,-1.011884345276336,-0.0030319089825071865,0.0006,0,"['K-Pop', 'Dance']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
