date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,1,Love Lee,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 댄스,03:00
2023-09-24,2,후라이의 꿈,AKMU (악뮤),YG Entertainment,11929992.0,가요 / 블루스/포크,03:25
2023-09-24,3,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오 (Dynamic Duo), 이영지",Stone Music Entertainment,4473459.0,가요 / 랩/힙합,03:30
2023-09-24,4,Super Shy,NewJeans,ADOR,11655019.0,가요 / 댄스,02:35
2023-09-24,5,Seven (feat. Latto) - Clean Ver.,정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,03:04
2023-09-24,6,ETA,NewJeans,ADOR,11655019.0,가요 / 댄스,02:31
2023-09-24,7,Fast Forward,전소미,The Black Label,2838121.0,가요 / 댄스,02:41
2023-09-24,8,헤어지자 말해요,박재정,로맨틱팩토리,2101694.0,가요 / 발라드,04:04
2023-09-24,9,I Love My Body,화사(Hwa Sa),피네이션,1798695.0,가요 / 댄스,02:30
2023-09-24,10,I AM,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,03:04
2023-09-24,11,사막에서 꽃을 피우듯,우디(Woody),메이저나인,1743014.0,가요 / 발라드,04:19
2023-09-24,12,Bubble,STAYC(스테이씨),하이업엔터테인먼트,3264422.0,가요 / 댄스,02:59
2023-09-24,13,퀸카 (Queencard),(여자)아이들,큐브엔터테인먼트,4015230.0,가요 / 댄스,02:41
2023-09-24,14,Either Way,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / R&B/소울,02:47
2023-09-24,15,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,03:06
2023-09-24,16,Hype boy,NewJeans,ADOR,11655019.0,가요 / 댄스,02:57
2023-09-24,17,Steal The Show (From “엘리멘탈”),Lauv,Walt Disney Records,3504236.0,OST / 전체,03:13
2023-09-24,18,Spicy,aespa,SM Entertainment,4995647.0,가요 / 댄스,03:17
2023-09-24,19,Ditto,NewJeans,ADOR,11655019.0,가요 / 댄스,03:06
2023-09-24,20,Kitsch,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,03:15
2023-09-24,21,New Jeans,NewJeans,ADOR,11655019.0,가요 / 댄스,01:49
2023-09-24,22,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,TOON STUDIO,1925848.0,가요 / 발라드,04:18
2023-09-24,23,사건의 지평선,윤하,C9엔터테인먼트,4339381.0,가요 / 락,05:01
2023-09-24,24,Vancouver 2,BIG Naughty (서동현),H1GHR MUSIC,4863178.0,가요 / 락,03:22
2023-09-24,25,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,03:02
2023-09-24,26,3D (feat. Jack Harlow),정국,BIGHIT MUSIC,4173726.0,가요 / 댄스,03:22
2023-09-24,27,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment,11929992.0,가요 / 발라드,04:50
2023-09-24,28,Summer (Feat. BE`O (비오)),Paul Blanco,Ambition Musik,2255000.0,가요 / 랩/힙합,03:20
2023-09-24,29,Get A Guitar,RIIZE,SM Entertainment,,가요 / 댄스,02:40
2023-09-24,30,After LIKE,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,02:57
2023-09-24,31,OMG,NewJeans,ADOR,11655019.0,가요 / 댄스,03:32
2023-09-24,32,Still With You,정국,BIGHIT MUSIC,4173726.0,가요 / R&B/소울,04:00
2023-09-24,33,Attention,NewJeans,ADOR,11655019.0,가요 / 댄스,02:58
2023-09-24,34,CAKE,ITZY (있지),JYP Entertainment,2585403.0,가요 / 랩/힙합,03:19
2023-09-24,35,LOVE DIVE,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,02:57
2023-09-24,36,너의 모든 순간,성시경,SBS 콘텐츠허브,3555336.0,OST / 드라마,04:03
2023-09-24,37,사랑은 늘 도망가,임영웅,모스트콘텐츠,5430728.0,OST / 드라마,04:03
2023-09-24,38,I WANT,IVE (아이브),스타쉽엔터테인먼트,9874062.0,가요 / 댄스,03:01
2023-09-24,39,심(心),DK,방구석 캐스팅,,가요 / 락,04:17
2023-09-24,40,주저하는 연인들을 위해,잔나비,페포니 뮤직,3426583.0,가요 / 인디,04:25
2023-09-24,41,나에게 그대만이,탑현,레이벡스,,가요 / 발라드,03:11
2023-09-24,42,Dangerously,Charlie Puth,Artist Partners,3727492.0,POP / 팝,03:19
2023-09-24,43,Slow Dancing,V,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,03:07
2023-09-24,44,사랑인가 봐,멜로망스(Melomance),플렉스엠,2467570.0,OST / 드라마,03:05
2023-09-24,45,Teddy Bear,STAYC(스테이씨),하이업엔터테인먼트,3264422.0,가요 / 댄스,03:10
2023-09-24,46,Cool With You,NewJeans,ADOR,11655019.0,가요 / 댄스,02:28
2023-09-24,47,손오공,세븐틴,플레디스,4099014.0,가요 / 댄스,03:20
2023-09-24,48,Click Like (Prod. Crush) (Feat. Paul Blanco),크러쉬 (CRUSH),Stone Music Entertainment,2113066.0,가요 / R&B/소울,02:46
2023-09-24,49,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY,GLG,,가요 / 댄스,03:16
2023-09-24,50,꽃,지수 (JISOO),YG Entertainment,,가요 / 댄스,02:53
2023-09-24,51,Love Me Again,V,BIGHIT MUSIC,9874062.0,가요 / R&B/소울,03:02
2023-09-24,52,사랑하지 않아서 그랬어,임한별,플렉스엠,1664288.0,가요 / 발라드,03:44
2023-09-24,53,취중고백,김민석,프로젝트 리본,,가요 / 발라드,03:48
2023-09-24,54,Baggy Jeans,NCT U,SM Entertainment,1720691.0,가요 / 댄스,03:31
2023-09-24,55,Stay,"The Kid LAROI, Justin Bieber",Columbia,,POP / 팝,02:22
2023-09-24,56,KIDDING,이세계 아이돌,J Major,,가요 / 전체,03:30
2023-09-24,57,다정히 내 이름을 부르면,"경서예지, 전건호",에버그로우,1586369.0,가요 / 발라드,03:51
2023-09-24,58,Better Things,aespa,SM Entertainment,4995647.0,가요 / 댄스,03:23
2023-09-24,59,ANTIFRAGILE,LE SSERAFIM (르세라핌),쏘스뮤직,4688291.0,가요 / 댄스,03:04
2023-09-24,60,물론,허각,니즈뮤직,2468924.0,가요 / 발라드,03:44
2023-09-24,61,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),플레디스,4099014.0,가요 / 댄스,03:25
2023-09-24,62,I Don`t Think That I Like Her,Charlie Puth,Atlantic Records,3727492.0,POP / 팝,03:09
2023-09-24,63,Somebody,디오 (D.O.),SM Entertainment,,가요 / 블루스/포크,02:39
2023-09-24,64,별 떨어진다 (I Do),디오 (D.O.),SM Entertainment,,가요 / 발라드,02:43
2023-09-24,65,사실말야내가말야그게그러니까말이야,케이시 (Kassy),넥스타엔터테인먼트,,가요 / 발라드,02:55
