date,Title,Artist,변환한이름,Score
2023-09-24,Ditto,NewJeans,NewJeans,6.0
2023-10-01,Ditto,NewJeans,NewJeans,7.0
2023-10-08,Ditto,NewJeans,NewJeans,6.0
2023-10-15,Ditto,NewJeans,NewJeans,5.0
2023-10-22,Ditto,NewJeans,NewJeans,5.0
2023-10-29,Ditto,NewJeans,NewJeans,5.0
2023-11-05,Ditto,NewJeans,NewJeans,5.0
2023-11-12,Ditto,NewJeans,NewJeans,4.0
2023-11-19,Ditto,NewJeans,NewJeans,7.0
2023-11-26,Ditto,NewJeans,NewJeans,6.0
2023-12-03,Ditto,NewJeans,NewJeans,5.0
2023-12-10,Ditto,NewJeans,NewJeans,6.0
2023-12-17,Ditto,NewJeans,NewJeans,5.0
2023-12-24,Ditto,NewJeans,NewJeans,6.0
2023-12-31,Ditto,NewJeans,NewJeans,6.0
2024-01-07,Ditto,NewJeans,NewJeans,5.0
2024-01-14,Ditto,NewJeans,NewJeans,3.0
2024-01-21,Ditto,NewJeans,NewJeans,4.0
2024-01-28,Ditto,NewJeans,NewJeans,4.0
2024-02-04,Ditto,NewJeans,NewJeans,5.0
2024-02-11,Ditto,NewJeans,NewJeans,3.0
2024-02-18,Ditto,NewJeans,NewJeans,4.0
2024-02-25,Ditto,NewJeans,NewJeans,4.0
2024-03-03,Ditto,NewJeans,NewJeans,3.0
2024-03-10,Ditto,NewJeans,NewJeans,3.0
2024-03-17,Ditto,NewJeans,NewJeans,4.0
2024-03-24,Ditto,NewJeans,NewJeans,5.0
2024-03-31,Ditto,NewJeans,NewJeans,4.0
2024-04-07,Ditto,NewJeans,NewJeans,4.0
2024-04-14,Ditto,NewJeans,NewJeans,4.0
2024-04-21,Ditto,NewJeans,NewJeans,8.0
2024-04-28,Ditto,NewJeans,NewJeans,8.0
2024-05-05,Ditto,NewJeans,NewJeans,7.0
2024-05-12,Ditto,NewJeans,NewJeans,7.0
2024-05-19,Ditto,NewJeans,NewJeans,9.0
2024-05-26,Ditto,NewJeans,NewJeans,9.0
2024-06-02,Ditto,NewJeans,NewJeans,7.0
2024-06-09,Ditto,NewJeans,NewJeans,9.0
2024-06-16,Ditto,NewJeans,NewJeans,14.0
2024-06-23,Ditto,NewJeans,NewJeans,12.0
2024-06-30,Ditto,NewJeans,NewJeans,10.0
2024-07-07,Ditto,NewJeans,NewJeans,8.0
2024-07-14,Ditto,NewJeans,NewJeans,6.0
2024-07-21,Ditto,NewJeans,NewJeans,8.0
2024-07-28,Ditto,NewJeans,NewJeans,6.0
2024-08-04,Ditto,NewJeans,NewJeans,6.0
2024-08-11,Ditto,NewJeans,NewJeans,6.0
2024-08-18,Ditto,NewJeans,NewJeans,6.0
2024-08-25,Ditto,NewJeans,NewJeans,5.0
2024-09-01,Ditto,NewJeans,NewJeans,6.0
2024-09-08,Ditto,NewJeans,NewJeans,8.0
2024-09-15,Ditto,NewJeans,NewJeans,6.0
2024-09-22,Ditto,NewJeans,NewJeans,5.0
2023-09-24,사건의 지평선,윤하,윤하,10.0
2023-10-01,사건의 지평선,윤하,윤하,10.0
2023-10-08,사건의 지평선,윤하,윤하,8.0
2023-10-15,사건의 지평선,윤하,윤하,8.0
2023-10-22,사건의 지평선,윤하,윤하,9.0
2023-10-29,사건의 지평선,윤하,윤하,9.0
2023-11-05,사건의 지평선,윤하,윤하,8.0
2023-11-12,사건의 지평선,윤하,윤하,7.0
2023-11-19,사건의 지평선,윤하,윤하,10.0
2023-11-26,사건의 지평선,윤하,윤하,8.0
2023-12-03,사건의 지평선,윤하,윤하,11.0
2023-12-10,사건의 지평선,윤하,윤하,8.0
