date,Rank,New_Artist,Title,Production,Runtime,Genre,Weekly Views,n_score,g_score,ky_chart_on
2023-09-24,1,악뮤,Love Lee,YG Entertainment,3:00,가요 / 댄스,11929992.0,94.32015,100.0,False
2023-09-24,2,악뮤,후라이의 꿈,YG Entertainment,3:25,가요 / 블루스/포크,11929992.0,94.32015,100.0,False
2023-09-24,4,뉴진스,Super Shy,ADOR,2:35,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,5,정국,Seven (feat. Latto) - Clean Ver.,BIGHIT MUSIC,3:04,가요 / 댄스,4173726.0,61.50958,45.0,False
2023-09-24,6,뉴진스,ETA,ADOR,2:31,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,7,전소미,Fast Forward,The Black Label,2:41,가요 / 댄스,2838121.0,61.76283,13.0,False
2023-09-24,8,박재정,헤어지자 말해요,로맨틱팩토리,4:04,가요 / 발라드,2101694.0,31.2917,16.0,True
2023-09-24,9,화사,I Love My Body,피네이션,2:30,가요 / 댄스,1798695.0,60.31301,62.0,False
2023-09-24,10,아이브,I AM,스타쉽엔터테인먼트,3:04,가요 / 댄스,9874062.0,65.02992,48.0,True
2023-09-24,11,우디,사막에서 꽃을 피우듯,메이저나인,4:19,가요 / 발라드,1743014.0,28.46486,48.0,False
2023-09-24,12,스테이씨,Bubble,하이업엔터테인먼트,2:59,가요 / 댄스,3264422.0,65.88327,17.0,False
2023-09-24,13,여자 아이들,퀸카 (Queencard),큐브엔터테인먼트,2:41,가요 / 댄스,4015230.0,17.8133,3.0,False
2023-09-24,14,아이브,Either Way,스타쉽엔터테인먼트,2:47,가요 / R&B/소울,9874062.0,65.02992,48.0,False
2023-09-24,15,르세라핌,"이브, 프시케 그리고 푸른 수염의 아내",쏘스뮤직,3:06,가요 / 댄스,4688291.0,12.83059,18.0,False
2023-09-24,16,뉴진스,Hype boy,ADOR,2:57,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,17,라우브,Steal The Show (From “엘리멘탈”),Walt Disney Records,3:13,OST / 전체,3504236.0,21.6056,4.0,False
2023-09-24,18,에스파,Spicy,SM Entertainment,3:17,가요 / 댄스,4995647.0,25.42594,11.0,False
2023-09-24,19,뉴진스,Ditto,ADOR,3:06,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,20,아이브,Kitsch,스타쉽엔터테인먼트,3:15,가요 / 댄스,9874062.0,65.02992,48.0,False
2023-09-24,21,뉴진스,New Jeans,ADOR,1:49,가요 / 댄스,11655019.0,10.55509,6.0,False
2023-09-24,22,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)",TOON STUDIO,4:18,가요 / 발라드,1925848.0,28.70222,34.0,False
2023-09-24,23,윤하,사건의 지평선,C9엔터테인먼트,5:01,가요 / 락,4339381.0,25.3714,10.0,True
2023-09-24,24,서동현,Vancouver 2,H1GHR MUSIC,3:22,가요 / 락,4863178.0,29.37908,38.0,False
2023-09-24,25,르세라핌,UNFORGIVEN (feat. Nile Rodgers),쏘스뮤직,3:02,가요 / 댄스,4688291.0,12.83059,18.0,False
2023-09-24,26,정국,3D (feat. Jack Harlow),BIGHIT MUSIC,3:22,가요 / 댄스,4173726.0,61.50958,45.0,False
